"Table","TableOffset","NumEntries","Entry","Addr","Function","Owner","Hostname","Investigated"
"SSDT[0]","1.84467E+19","1226","50","1.84467E+19","UNKNOWN","win32k.sys","DESKTOP-NBVE6KH","false"
"SSDT[0]","1.84467E+19","1226","51","1.84467E+19","UNKNOWN","win32k.sys","DESKTOP-NBVE6KH","false"
"SSDT[0]","1.84467E+19","1226","52","1.84467E+19","UNKNOWN","win32k.sys","DESKTOP-NBVE6KH","false"
"SSDT[0]","1.84467E+19","1226","53","1.84467E+19","UNKNOWN","win32k.sys","DESKTOP-NBVE6KH","false"
"SSDT[0]","1.84467E+19","1226","54","1.84467E+19","UNKNOWN","win32k.sys","DESKTOP-NBVE6KH","false"
"SSDT[0]","1.84467E+19","1226","55","1.84467E+19","UNKNOWN","win32k.sys","DESKTOP-NBVE6KH","false"
"SSDT[0]","1.84467E+19","1226","56","1.84467E+19","UNKNOWN","win32k.sys","DESKTOP-NBVE6KH","false"
"SSDT[0]","1.84467E+19","1226","57","1.84467E+19","UNKNOWN","win32k.sys","DESKTOP-NBVE6KH","false"
"SSDT[0]","1.84467E+19","1226","58","1.84467E+19","UNKNOWN","win32k.sys","DESKTOP-NBVE6KH","false"
"SSDT[0]","1.84467E+19","1226","59","1.84467E+19","UNKNOWN","win32k.sys","DESKTOP-NBVE6KH","false"
"SSDT[0]","1.84467E+19","1226","60","1.84467E+19","UNKNOWN","win32k.sys","DESKTOP-NBVE6KH","false"
"SSDT[0]","1.84467E+19","1226","61","1.84467E+19","UNKNOWN","win32k.sys","DESKTOP-NBVE6KH","false"
"SSDT[0]","1.84467E+19","1226","62","1.84467E+19","UNKNOWN","win32k.sys","DESKTOP-NBVE6KH","false"
"SSDT[0]","1.84467E+19","1226","63","1.84467E+19","UNKNOWN","win32k.sys","DESKTOP-NBVE6KH","false"
"SSDT[0]","1.84467E+19","1226","64","1.84467E+19","UNKNOWN","win32k.sys","DESKTOP-NBVE6KH","false"
"SSDT[0]","1.84467E+19","1226","65","1.84467E+19","UNKNOWN","win32k.sys","DESKTOP-NBVE6KH","false"
"SSDT[0]","1.84467E+19","1226","66","1.84467E+19","UNKNOWN","win32k.sys","DESKTOP-NBVE6KH","false"
"SSDT[0]","1.84467E+19","1226","67","1.84467E+19","UNKNOWN","win32k.sys","DESKTOP-NBVE6KH","false"
"SSDT[0]","1.84467E+19","1226","68","1.84467E+19","UNKNOWN","win32k.sys","DESKTOP-NBVE6KH","false"
"SSDT[0]","1.84467E+19","1226","69","1.84467E+19","UNKNOWN","win32k.sys","DESKTOP-NBVE6KH","false"
"SSDT[0]","1.84467E+19","1226","70","1.84467E+19","UNKNOWN","win32k.sys","DESKTOP-NBVE6KH","false"
"SSDT[0]","1.84467E+19","1226","71","1.84467E+19","UNKNOWN","win32k.sys","DESKTOP-NBVE6KH","false"
"SSDT[0]","1.84467E+19","1226","72","1.84467E+19","UNKNOWN","win32k.sys","DESKTOP-NBVE6KH","false"
"SSDT[0]","1.84467E+19","1226","73","1.84467E+19","UNKNOWN","win32k.sys","DESKTOP-NBVE6KH","false"
"SSDT[0]","1.84467E+19","1226","74","1.84467E+19","UNKNOWN","win32k.sys","DESKTOP-NBVE6KH","false"
"SSDT[0]","1.84467E+19","1226","75","1.84467E+19","UNKNOWN","win32k.sys","DESKTOP-NBVE6KH","false"
"SSDT[0]","1.84467E+19","1226","76","1.84467E+19","UNKNOWN","win32k.sys","DESKTOP-NBVE6KH","false"
"SSDT[0]","1.84467E+19","1226","77","1.84467E+19","UNKNOWN","win32k.sys","DESKTOP-NBVE6KH","false"
"SSDT[0]","1.84467E+19","1226","78","1.84467E+19","UNKNOWN","win32k.sys","DESKTOP-NBVE6KH","false"
"SSDT[0]","1.84467E+19","1226","79","1.84467E+19","UNKNOWN","win32k.sys","DESKTOP-NBVE6KH","false"
"SSDT[0]","1.84467E+19","1226","80","1.84467E+19","UNKNOWN","win32k.sys","DESKTOP-NBVE6KH","false"
"SSDT[0]","1.84467E+19","1226","81","1.84467E+19","UNKNOWN","win32k.sys","DESKTOP-NBVE6KH","false"
"SSDT[0]","1.84467E+19","1226","82","1.84467E+19","UNKNOWN","win32k.sys","DESKTOP-NBVE6KH","false"
"SSDT[0]","1.84467E+19","1226","83","1.84467E+19","UNKNOWN","win32k.sys","DESKTOP-NBVE6KH","false"
"SSDT[0]","1.84467E+19","1226","84","1.84467E+19","UNKNOWN","win32k.sys","DESKTOP-NBVE6KH","false"
"SSDT[0]","1.84467E+19","1226","85","1.84467E+19","UNKNOWN","win32k.sys","DESKTOP-NBVE6KH","false"
"SSDT[0]","1.84467E+19","1226","86","1.84467E+19","UNKNOWN","win32k.sys","DESKTOP-NBVE6KH","false"
"SSDT[0]","1.84467E+19","1226","87","1.84467E+19","UNKNOWN","win32k.sys","DESKTOP-NBVE6KH","false"
"SSDT[0]","1.84467E+19","1226","88","1.84467E+19","UNKNOWN","win32k.sys","DESKTOP-NBVE6KH","false"
"SSDT[0]","1.84467E+19","1226","89","1.84467E+19","UNKNOWN","win32k.sys","DESKTOP-NBVE6KH","false"
"SSDT[0]","1.84467E+19","1226","90","1.84467E+19","UNKNOWN","win32k.sys","DESKTOP-NBVE6KH","false"
"SSDT[0]","1.84467E+19","1226","91","1.84467E+19","UNKNOWN","win32k.sys","DESKTOP-NBVE6KH","false"
"SSDT[0]","1.84467E+19","1226","92","1.84467E+19","UNKNOWN","win32k.sys","DESKTOP-NBVE6KH","false"
"SSDT[0]","1.84467E+19","1226","93","1.84467E+19","UNKNOWN","win32k.sys","DESKTOP-NBVE6KH","false"
"SSDT[0]","1.84467E+19","1226","94","1.84467E+19","UNKNOWN","win32k.sys","DESKTOP-NBVE6KH","false"
"SSDT[0]","1.84467E+19","1226","95","1.84467E+19","UNKNOWN","win32k.sys","DESKTOP-NBVE6KH","false"
"SSDT[0]","1.84467E+19","1226","96","1.84467E+19","UNKNOWN","win32k.sys","DESKTOP-NBVE6KH","false"
"SSDT[0]","1.84467E+19","1226","97","1.84467E+19","UNKNOWN","win32k.sys","DESKTOP-NBVE6KH","false"
"SSDT[0]","1.84467E+19","1226","98","1.84467E+19","UNKNOWN","win32k.sys","DESKTOP-NBVE6KH","false"
"SSDT[0]","1.84467E+19","1226","99","1.84467E+19","UNKNOWN","win32k.sys","DESKTOP-NBVE6KH","false"
"SSDT[0]","1.84467E+19","1226","100","1.84467E+19","UNKNOWN","win32k.sys","DESKTOP-NBVE6KH","false"
"SSDT[0]","1.84467E+19","1226","101","1.84467E+19","UNKNOWN","win32k.sys","DESKTOP-NBVE6KH","false"
"SSDT[0]","1.84467E+19","1226","102","1.84467E+19","UNKNOWN","win32k.sys","DESKTOP-NBVE6KH","false"
"SSDT[0]","1.84467E+19","1226","103","1.84467E+19","UNKNOWN","win32k.sys","DESKTOP-NBVE6KH","false"
"SSDT[0]","1.84467E+19","1226","104","1.84467E+19","UNKNOWN","win32k.sys","DESKTOP-NBVE6KH","false"
"SSDT[0]","1.84467E+19","1226","105","1.84467E+19","UNKNOWN","win32k.sys","DESKTOP-NBVE6KH","false"
"SSDT[0]","1.84467E+19","1226","106","1.84467E+19","UNKNOWN","win32k.sys","DESKTOP-NBVE6KH","false"
"SSDT[0]","1.84467E+19","1226","107","1.84467E+19","UNKNOWN","win32k.sys","DESKTOP-NBVE6KH","false"
"SSDT[0]","1.84467E+19","1226","108","1.84467E+19","UNKNOWN","win32k.sys","DESKTOP-NBVE6KH","false"
"SSDT[0]","1.84467E+19","1226","109","1.84467E+19","UNKNOWN","win32k.sys","DESKTOP-NBVE6KH","false"
"SSDT[0]","1.84467E+19","1226","110","1.84467E+19","UNKNOWN","win32k.sys","DESKTOP-NBVE6KH","false"
"SSDT[0]","1.84467E+19","1226","111","1.84467E+19","UNKNOWN","win32k.sys","DESKTOP-NBVE6KH","false"
"SSDT[0]","1.84467E+19","1226","112","1.84467E+19","UNKNOWN","win32k.sys","DESKTOP-NBVE6KH","false"
"SSDT[0]","1.84467E+19","1226","113","1.84467E+19","UNKNOWN","win32k.sys","DESKTOP-NBVE6KH","false"
"SSDT[0]","1.84467E+19","1226","114","1.84467E+19","UNKNOWN","win32k.sys","DESKTOP-NBVE6KH","false"
"SSDT[0]","1.84467E+19","1226","115","1.84467E+19","UNKNOWN","win32k.sys","DESKTOP-NBVE6KH","false"
"SSDT[0]","1.84467E+19","1226","116","1.84467E+19","UNKNOWN","win32k.sys","DESKTOP-NBVE6KH","false"
"SSDT[0]","1.84467E+19","1226","117","1.84467E+19","UNKNOWN","win32k.sys","DESKTOP-NBVE6KH","false"
"SSDT[0]","1.84467E+19","1226","118","1.84467E+19","UNKNOWN","win32k.sys","DESKTOP-NBVE6KH","false"
"SSDT[0]","1.84467E+19","1226","119","1.84467E+19","UNKNOWN","win32k.sys","DESKTOP-NBVE6KH","false"
"SSDT[0]","1.84467E+19","1226","120","1.84467E+19","UNKNOWN","win32k.sys","DESKTOP-NBVE6KH","false"
"SSDT[0]","1.84467E+19","1226","121","1.84467E+19","UNKNOWN","win32k.sys","DESKTOP-NBVE6KH","false"
"SSDT[0]","1.84467E+19","1226","122","1.84467E+19","UNKNOWN","win32k.sys","DESKTOP-NBVE6KH","false"
"SSDT[0]","1.84467E+19","1226","123","1.84467E+19","UNKNOWN","win32k.sys","DESKTOP-NBVE6KH","false"
"SSDT[0]","1.84467E+19","1226","124","1.84467E+19","UNKNOWN","win32k.sys","DESKTOP-NBVE6KH","false"
"SSDT[0]","1.84467E+19","1226","125","1.84467E+19","UNKNOWN","win32k.sys","DESKTOP-NBVE6KH","false"
"SSDT[0]","1.84467E+19","1226","126","1.84467E+19","UNKNOWN","win32k.sys","DESKTOP-NBVE6KH","false"
"SSDT[0]","1.84467E+19","1226","127","1.84467E+19","UNKNOWN","win32k.sys","DESKTOP-NBVE6KH","false"
"SSDT[0]","1.84467E+19","1226","128","1.84467E+19","UNKNOWN","win32k.sys","DESKTOP-NBVE6KH","false"
"SSDT[0]","1.84467E+19","1226","129","1.84467E+19","UNKNOWN","win32k.sys","DESKTOP-NBVE6KH","false"
"SSDT[0]","1.84467E+19","1226","130","1.84467E+19","UNKNOWN","win32k.sys","DESKTOP-NBVE6KH","false"
"SSDT[0]","1.84467E+19","1226","131","1.84467E+19","UNKNOWN","win32k.sys","DESKTOP-NBVE6KH","false"
