Offset(V)          Name                    PID   PPID   Thds     Hnds   Sess  Wow64 Start                          Exit                          
------------------ -------------------- ------ ------ ------ -------- ------ ------ ------------------------------ ------------------------------
0xfffffa803318b060 sppsvc.exe             1732    500      0 --------      0      0 2019-06-24 13:46:09 UTC+0000   2019-06-24 13:58:23 UTC+0000  
0xfffffa8032007b10 splwow64.exe           3396   2376      0 --------      1      0 2019-06-24 13:48:14 UTC+0000   2019-06-24 20:45:34 UTC+0000  
0xfffffa80330ad060 WmiPrvSE.exe           3684    620      9      309      0      0 2019-06-24 13:48:33 UTC+0000                                 
0xfffffa80322d5b10 cmd.exe                1696    888      0 --------      0      0 2019-06-24 13:50:59 UTC+0000   2019-06-24 13:51:29 UTC+0000  
0xfffffa80322d1b10 cmd.exe                 600    888      0 --------      0      0 2019-06-24 13:50:59 UTC+0000   2019-06-24 13:51:22 UTC+0000  
0xfffffa80322d4900 conhost.exe            2768    344      0 --------      0      0 2019-06-24 13:50:59 UTC+0000   2019-06-24 13:51:22 UTC+0000  
0xfffffa803222f310 sc.exe                 3424    600      0 --------      0      0 2019-06-24 13:50:59 UTC+0000   2019-06-24 13:51:22 UTC+0000  
0xfffffa80322b4b10 find.exe               2588    600      0 --------      0      0 2019-06-24 13:50:59 UTC+0000   2019-06-24 13:51:22 UTC+0000  
0xfffffa8032021b10 conhost.exe            2924    344      0 --------      0      0 2019-06-24 13:51:20 UTC+0000   2019-06-24 13:51:29 UTC+0000  
0xfffffa80322bf060 find.exe               4084   1696      0 --------      0      0 2019-06-24 13:51:20 UTC+0000   2019-06-24 13:51:29 UTC+0000  
0xfffffa80322be390 find.exe               1672   1696      0 --------      0      0 2019-06-24 13:51:20 UTC+0000   2019-06-24 13:51:29 UTC+0000  
0xfffffa8032202b10 WmiApSrv.exe           3744    500      0 --------      0      0 2019-06-24 13:51:21 UTC+0000   2019-06-24 13:57:18 UTC+0000  
0xfffffa8031183060 TaniumDetectEn         4932   3324      0 --------      0      0 2019-06-24 20:43:38 UTC+0000   2019-06-24 20:53:38 UTC+0000  
0xfffffa80321484c0 chrome.exe             4408   2556      0 --------      1      0 2019-06-24 20:45:34 UTC+0000   2019-06-24 20:45:34 UTC+0000  
0xfffffa80336d1600 winlogon.exe           5008   4976      0 --------      2      0 2019-06-24 20:45:41 UTC+0000   2019-06-24 20:46:06 UTC+0000  
0xfffffa8032f6bb10 LogonUI.exe             176   5008      0 --------      2      0 2019-06-24 20:45:41 UTC+0000   2019-06-24 20:45:47 UTC+0000  
0xfffffa80322b1a50 dllhost.exe            4224    620      0 --------      0      0 2019-06-24 20:45:42 UTC+0000   2019-06-24 20:45:47 UTC+0000  
0xfffffa8033151b10 cmd.exe                1716   4244      0 --------      2      0 2019-06-24 20:45:44 UTC+0000   2019-06-24 20:45:59 UTC+0000  
0xfffffa8032324390 java.exe               4760   1716      0 --------      2      0 2019-06-24 20:45:55 UTC+0000   2019-06-24 20:45:57 UTC+0000  
0xfffffa80310b1130 winlogon.exe           3436   2820      0 --------      3      0 2019-06-24 20:46:06 UTC+0000   2019-06-24 20:48:13 UTC+0000  
0xfffffa8032889060 cmd.exe                2076   4336      0 --------      3      0 2019-06-24 20:46:42 UTC+0000   2019-06-24 20:47:19 UTC+0000  
0xfffffa8033605b10 java.exe                424   2076      0 --------      3      0 2019-06-24 20:46:53 UTC+0000   2019-06-24 20:47:19 UTC+0000  
0xfffffa8033400b10 winlogon.exe            856   4468      0 --------      4      0 2019-06-24 20:48:13 UTC+0000   2019-06-24 20:48:29 UTC+0000  
0xfffffa8032272710 cmd.exe                4064   4744      0 --------      4      0 2019-06-24 20:48:16 UTC+0000   2019-06-24 20:48:23 UTC+0000  
0xfffffa8032d1f060 timeout.exe            4292   4064      0 --------      4      0 2019-06-24 20:48:16 UTC+0000   2019-06-24 20:48:21 UTC+0000  
0xfffffa80321cb1d0 csrss.exe              3168   2944      0 --------      5      0 2019-06-24 20:48:29 UTC+0000   2019-06-25 15:20:53 UTC+0000  
0xfffffa8031193150 winlogon.exe           4472   2944      0 --------      5      0 2019-06-24 20:48:29 UTC+0000   2019-06-25 15:20:53 UTC+0000  
0xfffffa80330af890 cmd.exe                3300   2036      0 --------      5      0 2019-06-24 20:49:02 UTC+0000   2019-06-25 14:33:48 UTC+0000  
0xfffffa8032a6c920 java.exe               3356   3300      0 --------      5      0 2019-06-24 20:49:12 UTC+0000   2019-06-25 14:33:48 UTC+0000  
0xfffffa80336803a0 chromedriver_w         3348   3356      0 --------      5      0 2019-06-24 20:49:26 UTC+0000   2019-06-25 14:33:48 UTC+0000  
0xfffffa8032226280 chrome.exe             3732   3348      0 --------      5      0 2019-06-24 20:49:27 UTC+0000   2019-06-25 15:20:49 UTC+0000  
