Offset(V)          DueTime                  Period(ms) Signaled   Routine            Module
------------------ ------------------------ ---------- ---------- ------------------ ------
0xffffce0d1ba79a20 0x4000270f:0xffd454a2             0 -          0xfffff800993ad09c ntoskrnl.exe
0xfffff808d0c75aa8 0x00000113:0xbdbbd98f             0 -          0xfffff808d0c5d9e0 srvnet.sys
0xfffff808cff9a1e0 0x00000114:0xe220d0ce             0 -          0xfffff808cff91140 dfsc.sys
0xffffce0d1baa9950 0x00000114:0x2404a4c2             0 -          0xfffff808ce2dcd40 FLTMGR.SYS
0xffffce0d1ba6c160 0x40002710:0x00066617             0 -          0xfffff800993ad09c ntoskrnl.exe
0xfffff808ceefac20 0x00000113:0xbe2d6881         43348 Yes        0xfffff808cee7fae0 ndis.sys
0xffffce0d1bbfec20 0x00000113:0xadc35688            12 Yes        0xfffff808cf563d50 CLASSPNP.SYS
0xfffff808d0a087c0 0x00000113:0xa8fec35d             0 -          0xfffff808d09c47b0 HTTP.sys
0xfffff80099583b80 0x00000113:0xbac47e14         30000 Yes        0xfffff80099385c24 ntoskrnl.exe
0xffffce0d1a666460 0x00000113:0xb01bdcb8          1000 Yes        0xfffff808ceaed4b0 ataport.SYS
0xffffce0d1ba687a0 0x40002710:0x001978fc             0 -          0xfffff800993ad09c ntoskrnl.exe
0xffffce0d1bab9448 0x00000113:0xae49a933          2000 Yes        0xfffff808cea48d50 storport.sys
0xffffce0d1b09bc70 0x00000113:0xadc3ddb2             0 -          0xfffff808cfcc3ce0 netbt.sys
0xffffce0d1bac4ae8 0x00000194:0x9232a527             0 -          0xfffff808cf676b40 spaceport.sys
0xfffff808d0cd7448 0x00000113:0xa966e4bb             0 -          0xfffff808d0caee10 srv2.sys
0xfffff808cea8e320 0x00000119:0x72da99ab             0 -          0xfffff808cea81600 storport.sys
0xfffff8009925eac0 0x00000113:0xc3e033da        120000 Yes        0xfffff80099214460 hal.dll
