Offset(V)          Name                    PID   PPID   Thds     Hnds   Sess  Wow64 Start                          Exit                          
------------------ -------------------- ------ ------ ------ -------- ------ ------ ------------------------------ ------------------------------
0xffff870e8fe26800 winlogon.exe           4012   4672      2        0      5      0 2019-06-25 13:19:02 UTC+0000                                 
0xffff870e900f1800 dwm.exe                5728   4012     10        0      5      0 2019-06-25 13:19:03 UTC+0000                                 
0xffff870e91726800 svchost.exe            5620    680      7        0      5      0 2019-06-25 13:19:06 UTC+0000                                 
0xffff870e915ce080 sihost.exe             4184   1004      7        0      5      0 2019-06-25 13:19:06 UTC+0000                                 
0xffff870e91730800 taskhostw.exe          4916   1004     14        0      5      0 2019-06-25 13:19:07 UTC+0000                                 
0xffff870e919c5800 RuntimeBroker.         2304    780     15        0      5      0 2019-06-25 13:19:08 UTC+0000                                 
0xffff870e91a03800 userinit.exe           3136   4012      0 --------      5      0 2019-06-25 13:19:08 UTC+0000   2019-06-25 13:19:32 UTC+0000  
0xffff870e8da81800 explorer.exe           3648   3136     41        0      5      0 2019-06-25 13:19:08 UTC+0000                                 
0xffff870e8da7c080 ShellExperienc         4924    780     33        0      5      0 2019-06-25 13:19:11 UTC+0000                                 
0xffff870e9069c800 MSASCuiL.exe           5132   3648      6        0      5      0 2019-06-25 13:19:27 UTC+0000                                 
0xffff870e903e9080 vmtoolsd.exe           4100   3648      5        0      5      0 2019-06-25 13:19:28 UTC+0000                                 
0xffff870e9298d800 OneDrive.exe           5628   3648     13        0      5      1 2019-06-25 13:19:28 UTC+0000                                 
0xffff870e90731080 splwow64.exe           8236   5952      5        0      5      0 2019-06-25 13:22:18 UTC+0000                                 
0xffff870e91b8b080 POWERPNT.EXE           8948    780      5        0      5      1 2019-06-25 13:22:46 UTC+0000                                 
0xffff870e91a0c080 EXCEL.EXE              8436    780      5        0      5      1 2019-06-25 13:22:55 UTC+0000                                 
0xffff870e8c216800 taskhostw.exe          7308   1004      3        0      5      0 2019-06-25 14:12:48 UTC+0000                                 
0xffff870e915f2080 dllhost.exe            6580    780      4        0      5      0 2019-06-25 18:33:00 UTC+0000                                 
0xffff870e8bcdf600 ApplicationFra         1772    780      1        0      5      0 2019-06-25 18:38:00 UTC+0000                                 
0xffff870e902f5080 chrome.exe             9012   7240      0 --------      5      1 2019-06-25 18:38:07 UTC+0000   2019-06-25 19:25:35 UTC+0000  
0xffff870e905152c0 svchost.exe            5216    680      3        0      0      0 2019-06-25 18:50:11 UTC+0000                                 
0xffff870e91b2f080 SearchUI.exe           3496    780     37        0      5      0 2019-06-25 19:17:22 UTC+0000                                 
0xffff870e91380800 powershell.exe         8588   3648      9        0      5      0 2019-06-25 19:34:32 UTC+0000                                 
0xffff870e947e2340 conhost.exe            9140   8588      3        0      5      0 2019-06-25 19:34:32 UTC+0000                                 
0xffff870e9194e480 mspaint.exe            7632   3648      5        0      5      0 2019-06-25 19:34:39 UTC+0000                                 
0xffff870e907e1080 svchost.exe            3184    680      7        0      0      0 2019-06-25 19:34:40 UTC+0000                                 
0xffff870e8fc48800 powershell.exe         4660   3648      9        0      5      0 2019-06-25 20:25:24 UTC+0000                                 
0xffff870e95fa5080 conhost.exe            4352   4660      3        0      5      0 2019-06-25 20:25:24 UTC+0000                                 
0xffff870e909d9600 SearchProtocol         6220   2804      7        0      0      0 2019-06-25 20:25:50 UTC+0000                                 
0xffff870e93e0d800 rdpclip.exe             672   1016      6        0      4      0 2019-06-25 20:25:57 UTC+0000                                 
0xffff870e9092c780 wsmprovhost.ex         8100    780     22        0      0      0 2019-06-25 21:35:10 UTC+0000                                 
0xffff870e90423800 SearchFilterHo         6824   2804      4        0      0      0 2019-06-25 21:40:56 UTC+0000                                 
0xffff870e8cfaf080 csrss.exe              7788   4548      0 --------      6      0 2019-06-25 21:40:57 UTC+0000   2019-06-25 21:41:58 UTC+0000  
0xffff870e904bf080 winlogon.exe           5204   4548      0 --------      6      0 2019-06-25 21:40:57 UTC+0000   2019-06-25 21:41:57 UTC+0000  
0xffff870e90576080 LogonUI.exe            6564   5204      0 --------      6      0 2019-06-25 21:40:58 UTC+0000   2019-06-25 21:41:57 UTC+0000  
0xffff870e9171a800 dwm.exe                2460   5204      0 --------      6      0 2019-06-25 21:40:58 UTC+0000   2019-06-25 21:41:57 UTC+0000  
0xffff870e8fc803c0 TrustedInstall         9164    680      7        0      0      0 2019-06-25 21:40:58 UTC+0000                                 
0xffff870e93594800 TiWorker.exe           8248    780      6        0      0      0 2019-06-25 21:40:58 UTC+0000                                 
0xffff870e8f0ae080 svchost.exe            8368    680      4        0      0      0 2019-06-25 21:40:59 UTC+0000                                 
0xffff870e8ebad580 DumpIt-64.exe          7452   8100      4        0      0      0 2019-06-25 21:41:47 UTC+0000                                 
0xffff870e919e5080 conhost.exe            7580   7452      3        0      0      0 2019-06-25 21:41:47 UTC+0000                                 
0xffff870e8fb64080 smss.exe               3364    372      0 --------      7      0 2019-06-25 21:41:57 UTC+0000   2019-06-25 21:41:57 UTC+0000  
0xffff870e90cc0800 csrss.exe              2688   3364     13        0      7      0 2019-06-25 21:41:57 UTC+0000                                 
0xffff870e973d2800 winlogon.exe           9080   3364      0 --------      7      0 2019-06-25 21:41:57 UTC+0000   2019-06-25 21:42:58 UTC+0000  
0xffff870e90dcd080 LogonUI.exe            7328   9080     28        0      7      0 2019-06-25 21:41:58 UTC+0000                                 
0xffff870e8e62c800 dwm.exe                2588   9080      0 -------- ------      0 2019-06-25 21:41:58 UTC+0000   2019-06-25 21:42:58 UTC+0000  
0xffff870e909ef800 wermgr.exe             8356   1004      8        0 ------      0 2019-06-25 21:42:10 UTC+0000                                 
