Offset(P)          Proto    Local Address                  Foreign Address      State            Pid      Owner          Created
0x13e58d590        TCPv6    -:0                            a874:d304:80fa:ffff:a874:d304:80fa:ffff:0 CLOSED           3876     mstsc.exe      
0x13e5b6010        TCPv4    -:0                            56.75.7.5:0          CLOSED           1808     svchost.exe    
0x13e68e360        TCPv4    -:0                            56.27.215.4:0        CLOSED           804      svchost.exe    
0x13e6d73d0        TCPv4    172.116.4.55:5985              172.116.1.60:51611   ESTABLISHED      4        System         
0x13e7af470        TCPv4    -:0                            104.176.215.4:0      CLOSED           996      svchost.exe    
0x13e7cf170        TCPv4    -:0                            104.176.215.4:0      CLOSED           1808     svchost.exe    
0x13e8a0cf0        TCPv6    -:0                            68b0:d704:80fa:ffff:68b0:d704:80fa:ffff:0 CLOSED           4        System         
0x13ec77010        UDPv4    10.10.4.55:137                 *:*                                   4        System         2019-06-24 08:02:47 UTC+0000
0x13ec78ec0        UDPv4    10.10.4.55:138                 *:*                                   4        System         2019-06-24 08:02:47 UTC+0000
0x13ec98250        UDPv4    0.0.0.0:0                      *:*                                   492      lsass.exe      2019-06-24 07:56:02 UTC+0000
0x13ec99d70        UDPv4    0.0.0.0:0                      *:*                                   492      lsass.exe      2019-06-24 07:56:02 UTC+0000
0x13ec99d70        UDPv6    :::0                           *:*                                   492      lsass.exe      2019-06-24 07:56:02 UTC+0000
0x13edaf670        UDPv4    0.0.0.0:0                      *:*                                   896      svchost.exe    2019-06-24 07:57:04 UTC+0000
0x13edbc010        UDPv4    0.0.0.0:0                      *:*                                   896      svchost.exe    2019-06-24 07:57:04 UTC+0000
0x13edbc010        UDPv6    :::0                           *:*                                   896      svchost.exe    2019-06-24 07:57:04 UTC+0000
0x13edca860        UDPv4    127.0.0.1:49388                *:*                                   844      svchost.exe    2019-06-24 13:47:16 UTC+0000
0x13f1dc010        UDPv4    0.0.0.0:0                      *:*                                   996      svchost.exe    2019-06-24 08:02:47 UTC+0000
0x13f1dc010        UDPv6    :::0                           *:*                                   996      svchost.exe    2019-06-24 08:02:47 UTC+0000
0x13eca6ef0        TCPv4    0.0.0.0:49157                  0.0.0.0:0            LISTENING        1808     svchost.exe    
0x13ed672a0        TCPv4    0.0.0.0:49157                  0.0.0.0:0            LISTENING        1808     svchost.exe    
0x13ed672a0        TCPv6    :::49157                       :::0                 LISTENING        1808     svchost.exe    
0x13ed79760        TCPv4    0.0.0.0:47001                  0.0.0.0:0            LISTENING        4        System         
0x13ed79760        TCPv6    :::47001                       :::0                 LISTENING        4        System         
0x13f144140        TCPv4    0.0.0.0:135                    0.0.0.0:0            LISTENING        708      svchost.exe    
