Offset(V)          Name                    PID   PPID   Thds     Hnds   Sess  Wow64 Start                          Exit                          
------------------ -------------------- ------ ------ ------ -------- ------ ------ ------------------------------ ------------------------------
0xffffc08ed70c8580 armsvc.exe             2872    584      3        0      0      1 2019-08-21 23:12:59 UTC+0000                                 
0xffffc08ed70c7440 svchost.exe            2880    584      5        0      0      0 2019-08-21 23:12:59 UTC+0000                                 
0xffffc08ed714d580 svchost.exe            2892    584      8        0      0      0 2019-08-21 23:12:59 UTC+0000                                 
0xffffc08ed70c2580 svchost.exe            2908    584      7        0      0      0 2019-08-21 23:12:59 UTC+0000                                 
0xffffc08ed70c0580 svchost.exe            2916    584     10        0      1      0 2019-08-21 23:12:59 UTC+0000                                 
0xffffc08ed70be580 svchost.exe            2928    584      2        0      0      0 2019-08-21 23:12:59 UTC+0000                                 
0xffffc08ed70bc580 svchost.exe            2956    584     13        0      0      0 2019-08-21 23:12:59 UTC+0000                                 
0xffffc08ed72354c0 svchost.exe            2992    584     14        0      0      0 2019-08-21 23:12:59 UTC+0000                                 
0xffffc08ed7262580 svchost.exe            3056    584      5        0      0      0 2019-08-21 23:12:59 UTC+0000                                 
0xffffc08ed7260580 svchost.exe            2360    584      6        0      1      0 2019-08-21 23:12:59 UTC+0000                                 
0xffffc08ed725e580 mongod.exe             2456    584     20        0      0      0 2019-08-21 23:12:59 UTC+0000                                 
0xffffc08ed7290580 svchost.exe            2484    584      4        0      0      0 2019-08-21 23:12:59 UTC+0000                                 
0xffffc08ed7285080 SecurityHealth         2472    584      9        0      0      0 2019-08-21 23:12:59 UTC+0000                                 
0xffffc08ed725a580 svchost.exe            3080    584      2        0      0      0 2019-08-21 23:12:59 UTC+0000                                 
0xffffc08ed7258580 VGAuthService.         3088    584      3        0      0      0 2019-08-21 23:12:59 UTC+0000                                 
0xffffc08ed7257580 vmtoolsd.exe           3096    584      9        0      0      0 2019-08-21 23:12:59 UTC+0000                                 
0xffffc08ed7254580 vmware-usbarbi         3112    584      4        0      0      0 2019-08-21 23:12:59 UTC+0000                                 
0xffffc08ed7252580 vmware-convert         3120    584      8        0      0      1 2019-08-21 23:12:59 UTC+0000                                 
0xffffc08ed7250580 vmware-convert         3128    584     13        0      0      1 2019-08-21 23:12:59 UTC+0000                                 
0xffffc08ed724e580 vmware-convert         3136    584      8        0      0      1 2019-08-21 23:12:59 UTC+0000                                 
0xffffc08ed724c580 MsMpEng.exe            3144    584     31        0      0      0 2019-08-21 23:12:59 UTC+0000                                 
0xffffc08ed724a580 svchost.exe            3152    584      2        0      0      0 2019-08-21 23:12:59 UTC+0000                                 
0xffffc08ed7367580 dasHost.exe            3308   2928      3        0      0      0 2019-08-21 23:13:00 UTC+0000                                 
0xffffc08ed7363580 svchost.exe            3436    584      3        0      0      0 2019-08-21 23:13:00 UTC+0000                                 
0xffffc08ed349e280 svchost.exe            3712    584      7        0      0      0 2019-08-21 23:13:01 UTC+0000                                 
0xffffc08ed734d580 NetBanner.exe          3900   1440      6        0      1      0 2019-08-21 23:13:02 UTC+0000                                 
0xffffc08ed734b580 GoogleUpdate.e         3916   1440      5        0      0      1 2019-08-21 23:13:02 UTC+0000                                 
0xffffc08ed7349580 taskhostw.exe          3924   1440      9        0      1      0 2019-08-21 23:13:02 UTC+0000                                 
