Offset(V)          Name                    PID   PPID   Thds     Hnds   Sess  Wow64 Start                          Exit                          
------------------ -------------------- ------ ------ ------ -------- ------ ------ ------------------------------ ------------------------------
0xffffc7063b298080 SearchUI.exe           8704    648     34        0      4      0 2019-06-25 14:17:28 UTC+0000                                 
0xffffc7063c460680 MSASCuiL.exe           3584   8180      3        0      4      0 2019-06-25 14:17:39 UTC+0000                                 
0xffffc70639b84080 cmd.exe                7616   8180      1        0      4      0 2019-06-25 14:17:40 UTC+0000                                 
0xffffc7063b827080 conhost.exe            6900   7616      3        0      4      0 2019-06-25 14:17:40 UTC+0000                                 
0xffffc7063a469080 vmtoolsd.exe           4048   8180      5        0      4      0 2019-06-25 14:17:40 UTC+0000                                 
0xffffc7063b14d080 OneDrive.exe           7060   8180     13        0      4      1 2019-06-25 14:17:41 UTC+0000                                 
0xffffc706394e6640 java.exe                324   7616     33        0      4      1 2019-06-25 14:17:50 UTC+0000                                 
0xffffc70639a304c0 WINWORD.EXE            6424    648     12        0      4      1 2019-06-25 14:18:01 UTC+0000                                 
0xffffc7063ab74080 splwow64.exe           8648   6424      7        0      4      0 2019-06-25 14:18:01 UTC+0000                                 
0xffffc7063cca8640 chromedriver_w         4012    324      5        0      4      1 2019-06-25 14:18:18 UTC+0000                                 
0xffffc7063a3ac800 chrome.exe             8760   4012     27        0      4      1 2019-06-25 14:18:19 UTC+0000                                 
0xffffc7063d3cf080 chrome.exe             8424   8760      8        0      4      1 2019-06-25 14:18:19 UTC+0000                                 
0xffffc7063d493080 chrome.exe             7592   8760      7        0      4      1 2019-06-25 14:18:20 UTC+0000                                 
0xffffc7063a6d0080 OUTLOOK.EXE            8076    648     39        0      4      1 2019-06-25 14:18:30 UTC+0000                                 
0xffffc7063bf13800 POWERPNT.EXE           8608    648     12        0      4      1 2019-06-25 14:18:38 UTC+0000                                 
0xffffc706399bf080 EXCEL.EXE              9036    648     11        0      4      1 2019-06-25 14:27:35 UTC+0000                                 
0xffffc7063fd4e800 SearchProtocol         5000   4224      9        0      0      0 2019-06-25 16:53:08 UTC+0000                                 
0xffffc7063ce86080 TaniumClient.e         9152   2036     15        0      0      1 2019-06-25 21:37:24 UTC+0000                                 
0xffffc706397d4800 TaniumClient.e          972   2036     13        0      0      1 2019-06-25 21:37:24 UTC+0000                                 
0xffffc7063a470080 conhost.exe            6500   9152      3        0      0      0 2019-06-25 21:37:24 UTC+0000                                 
0xffffc7063c6f1800 conhost.exe            8200    972      3        0      0      0 2019-06-25 21:37:24 UTC+0000                                 
0xffffc7063c161080 TaniumClient.e         4988   9152      5        0      0      1 2019-06-25 21:37:37 UTC+0000                                 
0xffffc7063b252080 cmd.exe                9168   4988      0 --------      0      1 2019-06-25 21:38:32 UTC+0000   2019-06-25 21:38:32 UTC+0000  
0xffffc7063c751800 NETSTAT.EXE            4072   9168      0 --------      0      1 2019-06-25 21:38:32 UTC+0000   2019-06-25 21:38:32 UTC+0000  
0xffffc7063cfec740 cmd.exe                5900   4988      0 --------      0      1 2019-06-25 21:47:38 UTC+0000   2019-06-25 21:47:38 UTC+0000  
0xffffc70640091800 NETSTAT.EXE            5300   5900      0 --------      0      1 2019-06-25 21:47:38 UTC+0000   2019-06-25 21:47:38 UTC+0000  
0xffffc706399a7080 cmd.exe                7948   4988      0 --------      0      1 2019-06-25 21:56:43 UTC+0000   2019-06-25 21:56:43 UTC+0000  
0xffffc70639bc9080 NETSTAT.EXE            6548   7948      0 --------      0      1 2019-06-25 21:56:43 UTC+0000   2019-06-25 21:56:43 UTC+0000  
0xffffc7063a74d600 SearchProtocol         5008   4224     12        0      4      1 2019-06-25 21:58:22 UTC+0000                                 
0xffffc7063bbc8080 MpCmdRun.exe           8172   2612      5        0      0      0 2019-06-25 21:58:30 UTC+0000                                 
0xffffc7063e5c8080 cmd.exe                7388   4988      0 --------      0      1 2019-06-25 22:05:59 UTC+0000   2019-06-25 22:05:59 UTC+0000  
0xffffc7063bb27080 NETSTAT.EXE            6812   7388      0 --------      0      1 2019-06-25 22:05:59 UTC+0000   2019-06-25 22:05:59 UTC+0000  
0xffffc7063a2cd800 chrome.exe             1464   8760      8        0      4      1 2019-06-25 22:09:20 UTC+0000                                 
0xffffc7063be7a800 TaniumDetectEn          272   8720      6        0      0      0 2019-06-25 22:12:24 UTC+0000                                 
0xffffc7063f081400 wsmprovhost.ex          760    648     20        0      0      0 2019-06-25 22:12:32 UTC+0000                                 
0xffffc7063ad99080 cmd.exe                8296   4988      0 --------      0      1 2019-06-25 22:15:00 UTC+0000   2019-06-25 22:15:00 UTC+0000  
0xffffc7063d4c9080 NETSTAT.EXE            9120   8296      0 --------      0      1 2019-06-25 22:15:00 UTC+0000   2019-06-25 22:15:00 UTC+0000  
0xffffc70639b02080 -------------------- 96...2      0      0 -------- ------      0                                                              
0xffffc70639b02078                      393216      0      0 -------- ------      0                                                              
