Offset(V)          Name                    PID   PPID   Thds     Hnds   Sess  Wow64 Start                          Exit                          
------------------ -------------------- ------ ------ ------ -------- ------ ------ ------------------------------ ------------------------------
0xfffffa8032c722b0 w3wp.exe               6048   1928     37     1057      0      0 2019-06-24 18:22:09 UTC+0000                                 
0xfffffa8032df9b10 w3wp.exe               5876   1928     13      246      0      0 2019-06-24 18:22:22 UTC+0000                                 
0xfffffa80314bdb10 w3wp.exe                556   1928     38     1335      0      0 2019-06-24 20:48:13 UTC+0000                                 
0xfffffa80321a19c0 esensor.exe            3948    512     72     1072      0      0 2019-06-25 01:23:38 UTC+0000                                 
0xfffffa8032e9e810 csrss.exe              5520   6172     10      201      2      0 2019-06-25 14:18:35 UTC+0000                                 
0xfffffa8031915060 winlogon.exe            924   6172      3      105      2      0 2019-06-25 14:18:35 UTC+0000                                 
0xfffffa8032c558f0 taskhost.exe           5312    512      6      169      2      0 2019-06-25 14:18:40 UTC+0000                                 
0xfffffa8032bf03a0 rdpclip.exe            5552   4504      4       91      2      0 2019-06-25 14:18:40 UTC+0000                                 
0xfffffa80318bb440 dwm.exe                4616    956      3       75      2      0 2019-06-25 14:18:41 UTC+0000                                 
0xfffffa8032defb10 explorer.exe           6856   5920     15      585      2      0 2019-06-25 14:18:41 UTC+0000                                 
0xfffffa8031713b10 csrss.exe              7796   7144     10       78      3      0 2019-06-25 18:24:12 UTC+0000                                 
0xfffffa8032ccc6a0 winlogon.exe           6924   7144      3       91      3      0 2019-06-25 18:24:12 UTC+0000                                 
0xfffffa8032db6a40 LogonUI.exe            5488   6924      6      174      3      0 2019-06-25 18:24:13 UTC+0000                                 
0xfffffa8032ae8a70 w3wp.exe                508   1928     41     1438      0      0 2019-06-25 19:18:28 UTC+0000                                 
0xfffffa80334c2060 msftefd.exe            7328   1588     23      853      0      0 2019-06-26 13:28:14 UTC+0000                                 
0xfffffa8033026960 msftefd.exe            4784   1588     21      768      0      0 2019-06-26 13:38:03 UTC+0000                                 
0xfffffa8032c82060 TrustedInstall         7184    512      5      125      0      0 2019-06-26 13:44:25 UTC+0000                                 
0xfffffa8033401b10 wsmprovhost.ex         5260    632     15      525      0      0 2019-06-26 13:52:07 UTC+0000                                 
0xfffffa8032f7ab10 DumpIt-64.exe          5032   5260      4      109      0      0 2019-06-26 13:54:21 UTC+0000                                 
0xfffffa803337c7b0 conhost.exe            7980    352      2       37      0      0 2019-06-26 13:54:21 UTC+0000                               
