Offset(P)          Proto    Local Address                  Foreign Address      State            Pid      Owner          Created
0x13df0cbf0        UDPv4    0.0.0.0:4500                   *:*                                   968      svchost.exe    2019-06-24 18:25:25 UTC+0000
0x13df0cbf0        UDPv6    :::4500                        *:*                                   968      svchost.exe    2019-06-24 18:25:25 UTC+0000
0x13df141b0        UDPv4    0.0.0.0:4500                   *:*                                   968      svchost.exe    2019-06-24 18:25:25 UTC+0000
0x13df6bcd0        UDPv4    0.0.0.0:0                      *:*                                   968      svchost.exe    2019-06-24 18:25:25 UTC+0000
0x13dfb3910        UDPv4    0.0.0.0:0                      *:*                                   544      lsass.exe      2019-06-24 18:25:23 UTC+0000
0x13dfb4520        UDPv4    0.0.0.0:0                      *:*                                   544      lsass.exe      2019-06-24 18:25:23 UTC+0000
0x13dfb4520        UDPv6    :::0                           *:*                                   544      lsass.exe      2019-06-24 18:25:23 UTC+0000
0x13dfe6b30        UDPv4    127.0.0.1:49351                *:*                                   544      lsass.exe      2019-06-24 18:25:23 UTC+0000
0x13dff1600        UDPv4    0.0.0.0:0                      *:*                                   544      lsass.exe      2019-06-24 18:25:24 UTC+0000
0x13e13a710        UDPv6    ::1:65105                      *:*                                   2280     svchost.exe    2019-06-25 20:37:54 UTC+0000
0x13d826ab0        TCPv4    0.0.0.0:5985                   0.0.0.0:0            LISTENING        4        System         
0x13d826ab0        TCPv6    :::5985                        :::0                 LISTENING        4        System         
0x13d87c010        TCPv4    0.0.0.0:47001                  0.0.0.0:0            LISTENING        4        System         
0x13d87c010        TCPv6    :::47001                       :::0                 LISTENING        4        System         
0x13d944670        TCPv4    127.0.0.1:49998                0.0.0.0:0            LISTENING        1492     java.exe       
0x13d954630        TCPv4    0.0.0.0:49198                  0.0.0.0:0            LISTENING        536      services.exe   
0x13d95c010        TCPv4    0.0.0.0:49198                  0.0.0.0:0            LISTENING        536      services.exe   
0x13d95c010        TCPv6    :::49198                       :::0                 LISTENING        536      services.exe   
0x13dac94c0        TCPv4    0.0.0.0:445                    0.0.0.0:0            LISTENING        4        System         
0x13dac94c0        TCPv6    :::445                         :::0                 LISTENING        4        System         
0x13ded9410        TCPv4    0.0.0.0:49154                  0.0.0.0:0            LISTENING        968      svchost.exe    
0x13dee7ca0        TCPv4    0.0.0.0:49154                  0.0.0.0:0            LISTENING        968      svchost.exe    
0x13dee7ca0        TCPv6    :::49154                       :::0                 LISTENING        968      svchost.exe    
0x13e013c60        TCPv4    0.0.0.0:135                    0.0.0.0:0            LISTENING        752      svchost.exe    
0x13e034880        TCPv4    0.0.0.0:135                    0.0.0.0:0            LISTENING        752      svchost.exe    
0x13e034880        TCPv6    :::135                         :::0                 LISTENING        752      svchost.exe    
0x13e045c60        TCPv4    0.0.0.0:49152                  0.0.0.0:0            LISTENING        432      wininit.exe    
0x13e04c010        TCPv4    0.0.0.0:49152                  0.0.0.0:0            LISTENING        432      wininit.exe    
0x13e04c010        TCPv6    :::49152                       :::0                 LISTENING        432      wininit.exe    
0x13e0c0290        TCPv4    0.0.0.0:49153                  0.0.0.0:0            LISTENING        808      svchost.exe    
0x13e0d0010        TCPv4    0.0.0.0:49153                  0.0.0.0:0            LISTENING        808      svchost.exe    
0x13e0d0010        TCPv6    :::49153                       :::0                 LISTENING        808      svchost.exe    
0x13e0f3220        TCPv4    127.0.0.1:49999                0.0.0.0:0            LISTENING        4324     java.exe       
0x13d822cf0        TCPv4    172.116.1.110:64424            172.116.4.9:65308    ESTABLISHED      2852     OUTLOOK.EXE    
0x13d8d0720        TCPv6    -:0                            4806:5d33:80fa:ffff:4806:5d33:80fa:ffff:0 CLOSED           544      lsass.exe      
0x13d923720        TCPv6    -:0                            18ab:9732:80fa:ffff:18ab:9732:80fa:ffff:0 CLOSED           544      lsass.exe      
0x13dc283a0        TCPv6    -:0                            186b:cd32:80fa:ffff:186b:cd32:80fa:ffff:0 CLOSED           1492     java.exe       
0x13dca9800        TCPv4    172.116.1.110:445              172.116.3.254:19172  ESTABLISHED      4        System         
0x13dd18810        TCPv6    -:0                            d886:ec30:80fa:ffff:d886:ec30:80fa:ffff:0 CLOSED           544      lsass.exe      
0x13ddce1c0        TCPv4    127.0.0.1:64445                127.0.0.1:12970      ESTABLISHED      2292     chromedriver_w 
0x13deccae0        TCPv4    127.0.0.1:64832                127.0.0.1:49999      CLOSED           1492     java.exe       
0x13df863c0        TCPv4    127.0.0.1:64450                127.0.0.1:12970      ESTABLISHED      2292     chromedriver_w 
0x13dfd1010        TCPv4    -:0                            24.203.248.52:0      CLOSED           1492     java.exe       
0x13e1873d0        TCPv4    -:0                            72.6.93.51:0         CLOSED           768      svchost.exe    
0x13e229a60        TCPv6    -:0                            186b:cd32:80fa:ffff:186b:cd32:80fa:ffff:0 CLOSED           1                       
0x13e879450        TCPv4    127.0.0.1:0                    127.0.0.1:0          LISTENING        -1                      
0x13e913a50        TCPv4    -:0                            24.107.205.50:0      CLOSED           1492     java.exe       
0x13eba3690        TCPv4    172.116.1.110:63178            10.101.1.50:443      ESTABLISHED      5036     esensor.exe    
0x13ed39410        UDPv4    172.116.1.110:138              *:*                                   4        System         2019-06-25 18:57:00 UTC+0000
0x13ef2aec0        UDPv4    127.0.0.1:65107                *:*                                   2280     svchost.exe    2019-06-25 20:37:54 UTC+0000
0x13ec60010        TCPv4    127.0.0.1:12970                0.0.0.0:0            LISTENING        1284     chrome.exe     
0x13f1a5880        TCPv6    -:0                            d886:ec30:80fa:ffff:d886:ec30:80fa:ffff:0 CLOSED           4        System         
0x13f48c010        TCPv6    -:0                            c891:f33:80fa:ffff:c891:f33:80fa:ffff:0 CLOSED           4324     java.exe       
0x13f6cbec0        UDPv4    127.0.0.1:1900                 *:*                                   2280     svchost.exe    2019-06-25 20:37:54 UTC+0000
0x13f711220        UDPv4    172.116.1.110:1900             *:*                                   2280     svchost.exe    2019-06-25 20:37:54 UTC+0000
0x13fd68e20        UDPv4    0.0.0.0:5355                   *:*                                   768      svchost.exe    2019-06-25 20:37:54 UTC+0000
0x13f7cd2a0        TCPv4    127.0.0.1:12970                127.0.0.1:64464      ESTABLISHED      1284     chrome.exe     
0x13f9ab1b0        TCPv4    127.0.0.1:12970                127.0.0.1:64445      ESTABLISHED      1284     chrome.exe     
