Offset(V)          DueTime                  Period(ms) Signaled   Routine            Module
------------------ ------------------------ ---------- ---------- ------------------ ------
0xfffff80002e3bfe0 0x00000186:0xd1734ea1         15000 Yes        0xfffff80002c3fee0 ntoskrnl.exe
0xfffffa8032a55700 0x00000193:0xd1b0cacc        300000 Yes        0xfffff80002d906a0 ntoskrnl.exe
0xfffff80002e30720 0x00000189:0xf3c991cf             0 -          0xfffff80002c25050 ntoskrnl.exe
0xfffffa8030ef0db0 0x00000193:0x409f4500             0 -          0xfffff8800118f2b0 NETIO.SYS
0xfffff88003139af8 0x0000018d:0x32e6c100           200 Yes        0xfffff80002c8d540 ntoskrnl.exe
0xfffffa8031f7be78 0x00000193:0x3bf03be0            14 Yes        0xfffff88003fc11b8 vm3dmp.sys
0xfffffa8030ef0db0 0x00000193:0x409f4500             0 -          0xfffff8800118f2b0 NETIO.SYS
0xfffff88003139af8 0x0000018d:0x32e6c100           200 Yes        0xfffff80002c8d540 ntoskrnl.exe
0xfffffa8031a92088 0x00000193:0x3d48c700          1000 Yes        0xfffff88000e91d84 Wdf01000.sys
0xfffff80002e90880 0x00000186:0xc9a0bd00          1000 Yes        0xfffff80002c95954 ntoskrnl.exe
0xfffff8800177d670 0x00000193:0x04b82fc0             0 -          0xfffff8800118f2b0 NETIO.SYS
0xfffff8800177b4f0 0x00000193:0x04b82fc0             0 -          0xfffff8800118f2b0 NETIO.SYS
0xfffff8800177c5b0 0x00000193:0x04b82fc0             0 -          0xfffff8800118f2b0 NETIO.SYS
0xfffff880017878f0 0x00000186:0xcc30ddc0             0 -          0xfffff8800118f2b0 NETIO.SYS
0xfffffa8031cf5b48 0x00000193:0x65a390cf            10 -          0xfffff88001687dc0 tcpip.sys
0xfffffa8031f20a38 0x00000193:0x3d48c700         30000 Yes        0xfffff88003c90e60 afd.sys
0xfffff880014939d0 0x00000186:0xd2439012         10000 Yes        0xfffff88001430700 cng.sys
0xfffff880009eead8 0x0000018d:0x3338f802         15000 Yes        0xfffff80002c41b20 ntoskrnl.exe
0xfffffa8031777278 0x00000263:0x39404547             0 -          0xfffff88001541160 ndis.sys
0xfffff80002e91480 0x00000186:0xc96e5bfb             0 -          0xfffff80002c37f60 ntoskrnl.exe
0xfffffa8032e1fbd0 0x00000193:0x37b8cd25             0 -          0xfffff8800483c010 srv.sys
0xfffffa8031fd5278 0x00000262:0x63f34806             0 -          0xfffff88001541160 ndis.sys
0xfffffa8031fd8278 0x00000262:0x63f34806             0 -          0xfffff88001541160 ndis.sys
0xfffffa8031fdd278 0x00000262:0x63f34806             0 -          0xfffff88001541160 ndis.sys
0xfffffa8031fdf278 0x00000262:0x63f34806             0 -          0xfffff88001541160 ndis.sys
0xfffffa8032e1fbd0 0x00000193:0x37b8cd25             0 -          0xfffff8800483c010 srv.sys
0xfffffa8031cf59e0 0x00000193:0x3c954fcf            10 -          0xfffff88001687dc0 tcpip.sys
0xfffffa8031f20a38 0x00000193:0x3d48c700         30000 Yes        0xfffff88003c90e60 afd.sys
0xfffff880014939d0 0x00000186:0xd2439012         10000 Yes        0xfffff88001430700 cng.sys
0xfffffa8031f7be78 0x00000193:0x3bf03be0            14 Yes        0xfffff88003fc11b8 vm3dmp.sys
0xfffffa8030ef0db0 0x00000193:0x409f4500             0 -          0xfffff8800118f2b0 NETIO.SYS
0xfffff88003139af8 0x0000018d:0x32e6c100           200 Yes        0xfffff80002c8d540 ntoskrnl.exe
