Offset(V)          Name                    PID   PPID   Thds     Hnds   Sess  Wow64 Start                          Exit                          
------------------ -------------------- ------ ------ ------ -------- ------ ------ ------------------------------ ------------------------------
0xfffffa803a5c0770 chrome.exe              616   6304     12      133      2      1 2019-09-02 09:44:24 UTC+0000                                 
0xfffffa803b0adb10 chrome.exe             2140   6304     12      148      2      1 2019-09-02 10:38:24 UTC+0000                                 
0xfffffa803b1b1060 wsmprovhost.ex         7104    624     10      320      0      0 2019-09-03 14:59:10 UTC+0000                                 
0xfffffa803b2e0b10 wsmprovhost.ex         5712    624     10      700      0      0 2019-09-03 14:59:16 UTC+0000                                 
0xfffffa803a153060 volatility.exe         5620   5712      0 --------      0      0 2019-09-03 14:59:22 UTC+0000   2019-09-03 15:00:59 UTC+0000  
0xfffffa803b3c54a0 HOSTNAME.EXE           6568   5712      0 --------      0      0 2019-09-03 15:00:59 UTC+0000   2019-09-03 15:00:59 UTC+0000  
0xfffffa803aba1060 volatility.exe         6812   5712      0 --------      0      0 2019-09-03 15:00:59 UTC+0000   2019-09-03 15:01:27 UTC+0000  
0xfffffa803afa3b10 HOSTNAME.EXE           3808   5712      0 --------      0      0 2019-09-03 15:01:27 UTC+0000   2019-09-03 15:01:27 UTC+0000  
0xfffffa803b3a0900 volatility.exe         5432   5712      0 --------      0      0 2019-09-03 15:01:27 UTC+0000   2019-09-03 15:01:57 UTC+0000  
0xfffffa803a9b0060 HOSTNAME.EXE           6908   5712      0 --------      0      0 2019-09-03 15:01:57 UTC+0000   2019-09-03 15:01:57 UTC+0000  
0xfffffa803b3cf500 volatility.exe         2716   5712      0 --------      0      0 2019-09-03 15:01:57 UTC+0000   2019-09-03 15:02:52 UTC+0000  
0xfffffa803b377b10 HOSTNAME.EXE           4472   5712      0 --------      0      0 2019-09-03 15:02:52 UTC+0000   2019-09-03 15:02:52 UTC+0000  
0xfffffa803b0f1060 volatility.exe         4120   5712      0 --------      0      0 2019-09-03 15:02:52 UTC+0000   2019-09-03 15:04:32 UTC+0000  
0xfffffa803b217b10 HOSTNAME.EXE           3316   5712      0 --------      0      0 2019-09-03 15:04:32 UTC+0000   2019-09-03 15:04:32 UTC+0000  
0xfffffa8037833300 volatility.exe         1596   5712      0 --------      0      0 2019-09-03 15:04:32 UTC+0000   2019-09-03 15:06:37 UTC+0000  
0xfffffa803b36b060 HOSTNAME.EXE           6308   5712      0 --------      0      0 2019-09-03 15:06:37 UTC+0000   2019-09-03 15:06:37 UTC+0000  
0xfffffa803b295b10 volatility.exe         3892   5712      0 --------      0      0 2019-09-03 15:06:37 UTC+0000   2019-09-03 15:11:46 UTC+0000  
0xfffffa803b2c21e0 HOSTNAME.EXE           3992   5712      0 --------      0      0 2019-09-03 15:11:46 UTC+0000   2019-09-03 15:11:47 UTC+0000  
0xfffffa803b2c53f0 volatility.exe         1936   5712      0 --------      0      0 2019-09-03 15:11:47 UTC+0000   2019-09-03 15:12:23 UTC+0000  
0xfffffa803b120600 HOSTNAME.EXE           4188   5712      0 --------      0      0 2019-09-03 15:12:23 UTC+0000   2019-09-03 15:12:23 UTC+0000  
0xfffffa803b0b6b10 volatility.exe         5892   5712      0 --------      0      0 2019-09-03 15:12:23 UTC+0000   2019-09-03 15:12:51 UTC+0000  
0xfffffa803b173b10 wsmprovhost.ex         7900    624     10      280      0      0 2019-09-03 16:11:49 UTC+0000                                 
0xfffffa803ac4fb10 wsmprovhost.ex         7960    624     10      582      0      0 2019-09-03 16:11:51 UTC+0000                                 
0xfffffa803b190b10 volatility.exe         2996   7960      0 --------      0      0 2019-09-03 16:21:34 UTC+0000   2019-09-03 16:21:59 UTC+0000  
0xfffffa803af12870 HOSTNAME.EXE           3020   7960      0 --------      0      0 2019-09-03 16:21:59 UTC+0000   2019-09-03 16:21:59 UTC+0000  
0xfffffa803b23bb10 volatility.exe         6696   7960      0 --------      0      0 2019-09-03 16:21:59 UTC+0000   2019-09-03 16:22:20 UTC+0000  
0xfffffa803b1a0870 HOSTNAME.EXE           5500   7960      0 --------      0      0 2019-09-03 16:22:20 UTC+0000   2019-09-03 16:22:20 UTC+0000  
0xfffffa803b0745d0 volatility.exe         4956   7960      0 --------      0      0 2019-09-03 16:22:20 UTC+0000   2019-09-03 16:22:43 UTC+0000  
0xfffffa803af3cb10 HOSTNAME.EXE           7532   7960      0 --------      0      0 2019-09-03 16:22:43 UTC+0000   2019-09-03 16:22:43 UTC+0000  
0xfffffa803b2c42b0 volatility.exe         7792   7960      0 --------      0      0 2019-09-03 16:22:43 UTC+0000   2019-09-03 16:22:51 UTC+0000  
0xfffffa803b15f730 HOSTNAME.EXE           6256   7960      0 --------      0      0 2019-09-03 16:22:51 UTC+0000   2019-09-03 16:22:51 UTC+0000  
0xfffffa803b201060 volatility.exe         3012   7960      0 --------      0      0 2019-09-03 16:22:51 UTC+0000   2019-09-03 16:23:18 UTC+0000  
0xfffffa803af5fb10 HOSTNAME.EXE           7748   7960      0 --------      0      0 2019-09-03 16:23:18 UTC+0000   2019-09-03 16:23:18 UTC+0000  
0xfffffa803aca1060 volatility.exe         8076   7960      0 --------      0      0 2019-09-03 16:23:18 UTC+0000   2019-09-03 16:23:43 UTC+0000  
0xfffffa803b1a8b10 wsmprovhost.ex         7236    624     12      287      0      0 2019-09-03 16:28:13 UTC+0000                                 
0xfffffa803b035060 wsmprovhost.ex         7368    624     12      592      0      0 2019-09-03 16:28:14 UTC+0000                                 
0xfffffa803b09c600 HOSTNAME.EXE           7452   7368      0 --------      0      0 2019-09-03 16:28:14 UTC+0000   2019-09-03 16:28:15 UTC+0000  
0xfffffa803b07d060 systeminfo.exe         7540   7368      0 --------      0      0 2019-09-03 16:28:15 UTC+0000   2019-09-03 16:28:20 UTC+0000  
0xfffffa803b17f060 DumpIt.exe             7760   7368      5       98      0      0 2019-09-03 16:28:20 UTC+0000                                 
0xfffffa8039e76060 conhost.exe            8176    340      2       32      0      0 2019-09-03 16:28:20 UTC+0000                                 
