Offset(P)          Proto    Local Address                  Foreign Address      State            Pid      Owner          Created
0x13e958ec0        UDPv4    172.115.1.69:138               *:*                                   4        System         2019-08-28 12:20:19 UTC+0000
0x13e9ca010        UDPv4    10.10.1.69:138                 *:*                                   4        System         2019-08-28 12:21:15 UTC+0000
0x13e29e250        TCPv4    0.0.0.0:445                    0.0.0.0:0            LISTENING        4        System         
0x13e29e250        TCPv6    :::445                         :::0                 LISTENING        4        System         
0x13e2de3f0        TCPv4    0.0.0.0:49154                  0.0.0.0:0            LISTENING        904      svchost.exe    
0x13e2de3f0        TCPv6    :::49154                       :::0                 LISTENING        904      svchost.exe    
0x13e2e0630        TCPv4    0.0.0.0:49154                  0.0.0.0:0            LISTENING        904      svchost.exe    
0x13e3591d0        TCPv4    0.0.0.0:49170                  0.0.0.0:0            LISTENING        512      lsass.exe      
0x13e3591d0        TCPv6    :::49170                       :::0                 LISTENING        512      lsass.exe      
0x13e378010        TCPv4    0.0.0.0:50824                  0.0.0.0:0            LISTENING        2452     svchost.exe    
0x13e58c420        TCPv4    0.0.0.0:135                    0.0.0.0:0            LISTENING        704      svchost.exe    
0x13e58def0        TCPv4    0.0.0.0:135                    0.0.0.0:0            LISTENING        704      svchost.exe    
0x13e58def0        TCPv6    :::135                         :::0                 LISTENING        704      svchost.exe    
0x13e595ae0        TCPv4    0.0.0.0:49152                  0.0.0.0:0            LISTENING        392      wininit.exe    
0x13e596ef0        TCPv4    0.0.0.0:49152                  0.0.0.0:0            LISTENING        392      wininit.exe    
0x13e596ef0        TCPv6    :::49152                       :::0                 LISTENING        392      wininit.exe    
0x13e5d9c90        TCPv4    0.0.0.0:49153                  0.0.0.0:0            LISTENING        768      svchost.exe    
0x13e5dcef0        TCPv4    0.0.0.0:49153                  0.0.0.0:0            LISTENING        768      svchost.exe    
0x13e5dcef0        TCPv6    :::49153                       :::0                 LISTENING        768      svchost.exe    
0x13e972150        TCPv4    10.10.1.69:139                 0.0.0.0:0            LISTENING        4        System         
0x13e9835d0        TCPv4    0.0.0.0:5985                   0.0.0.0:0            LISTENING        4        System         
0x13e9835d0        TCPv6    :::5985                        :::0                 LISTENING        4        System         
0x13ebc8800        TCPv4    172.115.1.69:139               0.0.0.0:0            LISTENING        4        System         
0x13e37d340        TCPv4    172.115.1.69:55673             172.115.1.59:17472   ESTABLISHED      6604     TaniumClient.e 
0x13e396cf0        TCPv4    127.0.0.1:54996                127.0.0.1:49998      CLOSED           7120     conhost.exe    
