Offset(P)          Proto    Local Address                  Foreign Address      State            Pid      Owner          Created
0x134a6f120        UDPv6    :::0                           *:*                                   888      svchost.exe    2019-09-16 19:07:44 UTC+0000
0x134a6e5c0        TCPv4    0.0.0.0:80                     0.0.0.0:0            LISTENING        4        System         
0x134a6e5c0        TCPv6    :::80                          :::0                 LISTENING        4        System         
0x134d8b500        UDPv4    0.0.0.0:0                      *:*                                   528      lsass.exe      2019-09-16 19:06:19 UTC+0000
0x134d8b500        UDPv6    :::0                           *:*                                   528      lsass.exe      2019-09-16 19:06:19 UTC+0000
0x1369cc7d0        UDPv4    0.0.0.0:0                      *:*                                   528      lsass.exe      2019-09-16 19:06:19 UTC+0000
0x1369e6cf0        UDPv4    0.0.0.0:0                      *:*                                   852      svchost.exe    2019-09-16 19:06:24 UTC+0000
0x1369e6cf0        UDPv6    :::0                           *:*                                   852      svchost.exe    2019-09-16 19:06:24 UTC+0000
0x1369e8ec0        UDPv4    0.0.0.0:0                      *:*                                   852      svchost.exe    2019-09-16 19:06:24 UTC+0000
0x1369e8ec0        UDPv6    :::0                           *:*                                   852      svchost.exe    2019-09-16 19:06:24 UTC+0000
0x1369f0010        TCPv4    0.0.0.0:445                    0.0.0.0:0            LISTENING        4        System         
0x1369f0010        TCPv6    :::445                         :::0                 LISTENING        4        System         
0x1369f0290        TCPv4    0.0.0.0:443                    0.0.0.0:0            LISTENING        4        System         
0x1369f0290        TCPv6    :::443                         :::0                 LISTENING        4        System         
0x1369fd6c0        TCPv4    0.0.0.0:49156                  0.0.0.0:0            LISTENING        528      lsass.exe      
0x138bc3300        UDPv4    0.0.0.0:0                      *:*                                   960      svchost.exe    2019-09-16 19:09:13 UTC+0000
0x138bc3300        UDPv6    :::0                           *:*                                   960      svchost.exe    2019-09-16 19:09:13 UTC+0000
0x138a1c930        TCPv4    0.0.0.0:49153                  0.0.0.0:0            LISTENING        528      lsass.exe      
0x138a6da60        TCPv4    0.0.0.0:49152                  0.0.0.0:0            LISTENING        420      wininit.exe    
0x138a6da60        TCPv6    :::49152                       :::0                 LISTENING        420      wininit.exe    
0x138a7cdd0        TCPv4    0.0.0.0:49152                  0.0.0.0:0            LISTENING        420      wininit.exe    
0x138a86340        TCPv4    0.0.0.0:135                    0.0.0.0:0            LISTENING        644      svchost.exe    
0x138a86340        TCPv6    :::135                         :::0                 LISTENING        644      svchost.exe    
0x138a88e60        TCPv4    0.0.0.0:135                    0.0.0.0:0            LISTENING        644      svchost.exe    
0x138aafc30        TCPv4    0.0.0.0:49153                  0.0.0.0:0            LISTENING        528      lsass.exe      
0x138aafc30        TCPv6    :::49153                       :::0                 LISTENING        528      lsass.exe      
0x138b4e560        TCPv4    0.0.0.0:49154                  0.0.0.0:0            LISTENING        800      svchost.exe    
0x138b4e560        TCPv6    :::49154                       :::0                 LISTENING        800      svchost.exe    
0x138b654c0        TCPv4    0.0.0.0:49155                  0.0.0.0:0            LISTENING        852      svchost.exe    
0x138b654c0        TCPv6    :::49155                       :::0                 LISTENING        852      svchost.exe    
0x138b65950        TCPv4    0.0.0.0:49156                  0.0.0.0:0            LISTENING        528      lsass.exe      
0x138b65950        TCPv6    :::49156                       :::0                 LISTENING        528      lsass.exe      
0x138b93600        TCPv4    10.10.4.14:139                 0.0.0.0:0            LISTENING        4        System         
0x13a46c880        UDPv4    10.10.4.14:36945               *:*                                   4        System         2019-09-16 19:05:58 UTC+0000
0x13a4182b0        TCPv4    0.0.0.0:49155                  0.0.0.0:0            LISTENING        852      svchost.exe    
0x13b0d7260        UDPv4    10.10.4.14:36945               *:*                                   4        System         2019-09-16 19:05:58 UTC+0000
0x13b1ae010        UDPv4    172.115.4.14:41088             *:*                                   4        System         2019-09-16 19:03:27 UTC+0000
0x13b0dfed0        TCPv4    172.115.4.14:139               0.0.0.0:0            LISTENING        4        System         
0x13b1ff6e0        TCPv4    0.0.0.0:49154                  0.0.0.0:0            LISTENING        800      svchost.exe    
