Offset(V)          Name                    PID   PPID   Thds     Hnds   Sess  Wow64 Start                          Exit                          
------------------ -------------------- ------ ------ ------ -------- ------ ------ ------------------------------ ------------------------------
0xfffffa8034b70060 cmd.exe                5544   6280      0 --------      0      0 2019-09-03 17:03:19 UTC+0000   2019-09-03 17:03:19 UTC+0000  
0xfffffa8032083b10 NETSTAT.EXE            8316   5544      0 --------      0      0 2019-09-03 17:03:19 UTC+0000   2019-09-03 17:03:19 UTC+0000  
0xfffffa8031308910 wsmprovhost.ex         4256    632     11      297      0      0 2019-09-03 17:04:10 UTC+0000                                 
0xfffffa80320d1940 wsmprovhost.ex         7976    632     12      633      0      0 2019-09-03 17:04:11 UTC+0000                                 
0xfffffa803369ab10 HOSTNAME.EXE           7116   7976      0 --------      0      0 2019-09-03 17:04:12 UTC+0000   2019-09-03 17:04:12 UTC+0000  
0xfffffa8031228550 systeminfo.exe         6500   7976      0 --------      0      0 2019-09-03 17:04:12 UTC+0000   2019-09-03 17:04:15 UTC+0000  
0xfffffa8034f8c060 DumpIt.exe             3880   7976      5      105      0      0 2019-09-03 17:04:15 UTC+0000                                 
0xfffffa8033337b10 conhost.exe            5736    340      2       33      0      0 2019-09-03 17:04:15 UTC+0000                                 
0xfffffa80359f1060 MpCmdRun.exe           5876   9180      6      123      0      0 2019-09-03 17:04:30 UTC+0000                                 
0xfffffa803220f750 cmd.exe                8248   7872      0 -------- ------      0 2019-09-03 17:05:48 UTC+0000   2019-09-03 17:05:48 UTC+0000  
0xfffffa80315e2b10 cmd.exe                5928   1688      0 -------- ------      0 2019-09-03 17:06:00 UTC+0000   2019-09-03 17:06:00 UTC+0000  
0xfffffa803307fa50 NETSTAT.EXE            3096   5928      0 -------- ------      0 2019-09-03 17:06:00 UTC+0000   2019-09-03 17:06:00 UTC+0000  
