Offset(P)          Proto    Local Address                  Foreign Address      State            Pid      Owner          Created
0x13e47d010        TCPv6    -:0                            f852:6f32:80fa:ffff:f852:6f32:80fa:ffff:0 CLOSED           4        System         
0x13e4a6770        TCPv6    -:0                            2888:ec30:80fa:ffff:2888:ec30:80fa:ffff:0 CLOSED           4        System         
0x13e7cf010        TCPv6    -:0                            187b:3732:80fa:ffff:187b:3732:80fa:ffff:0 CLOSED           532      lsass.exe      
0x13edffa10        UDPv4    172.115.1.154:138              *:*                                   4        System         2019-09-16 19:29:09 UTC+0000
0x13ef2cdf0        TCPv4    172.115.1.154:139              0.0.0.0:0            LISTENING        4        System         
0x13fb06010        UDPv4    0.0.0.0:5355                   *:*                                   732      svchost.exe    2019-09-18 07:48:49 UTC+0000
0x13fc5d230        UDPv4    0.0.0.0:0                      *:*                                   532      lsass.exe      2019-09-16 19:50:12 UTC+0000
0x13fc5d230        UDPv6    :::0                           *:*                                   532      lsass.exe      2019-09-16 19:50:12 UTC+0000
0x13fd14cf0        TCPv6    ::1:53203                      ::1:445              CLOSED           4        System         
0x13fdda010        TCPv4    127.0.0.1:53316                127.0.0.1:49999      CLOSED           2136     java.exe       
