Offset(V)          DueTime                  Period(ms) Signaled   Routine            Module
------------------ ------------------------ ---------- ---------- ------------------ ------
0xfffffa8032a7cef0 0x00000192:0x9a907797       3600000 Yes        0xfffff80002b7d6a0 ntoskrnl.exe
0xfffff80002c1d720 0x00000189:0xf3c8e0bd             0 -          0xfffff80002a12050 ntoskrnl.exe
0xfffffa8031d05278 0x0000018b:0x1146a0f7             0 -          0xfffff880016b2160 ndis.sys
0xfffffa80324ab3e8 0x0000018b:0x09836763          4000 Yes        0xfffff88004565c14 usbccgp.sys
0xfffff88002441680 0x0000018b:0x016a6e3a         30000 Yes        0xfffff8800240e540 HTTP.sys
0xfffff80002c1d900 0x00002555:0xfc58fafd             0 -          0xfffff80002b35730 ntoskrnl.exe
0xfffffa8031b9afb0 0x00000192:0x666819a0             0 -          0xfffff88002cab010 netbt.sys
0xfffffa8032b47da0 0x0000018b:0x1363defd        120000 Yes        0xfffff80002b7d6a0 ntoskrnl.exe
0xfffff800030136b8 0x00000186:0xc5fb06d6         60000 Yes        0xfffff80002ffc19c hal.dll
0xfffff88003bc7cb8 0x0000018a:0xf656d380           500 Yes        0xfffff88003bb0750 tunnel.sys
0xfffffa8031f40d58 0x0000018b:0x11294800         30000 Yes        0xfffff88002c22e60 afd.sys
0xfffff80002c1d900 0x00002555:0xfc58fafd             0 -          0xfffff80002b35730 ntoskrnl.exe
0xfffff88002da0960 0x0000018a:0xf9ea5a80             0 -          0xfffff88002d855a4 rdbss.sys
0xfffff8800244a260 0x0000018b:0x18e2c8c5             0 -          0xfffff8800240ecb0 HTTP.sys
0xfffff8800244a260 0x0000018b:0x18e2c8c5             0 -          0xfffff8800240ecb0 HTTP.sys
0xfffff80002c1d900 0x00002555:0xfc58fafd             0 -          0xfffff80002b35730 ntoskrnl.exe
0xfffff880009eead8 0x00000189:0x1d293882         15000 Yes        0xfffff80002a2eb20 ntoskrnl.exe
0xfffffa8032a78960 0x0000018b:0x0f5f8c87        300000 Yes        0xfffff80002b7d6a0 ntoskrnl.exe
0xfffff88003b85480 0x0000018c:0x877a7a00             0 -          0xfffff88003b81c3c dfsc.sys
0xfffff88003bc7cb8 0x0000018a:0xf656d380           500 Yes        0xfffff88003bb0750 tunnel.sys
