Offset(V)          Name                    PID   PPID   Thds     Hnds   Sess  Wow64 Start                          Exit                          
------------------ -------------------- ------ ------ ------ -------- ------ ------ ------------------------------ ------------------------------
0xfffffa80321f5060 chrome.exe             3252   4040     36     6482      1      1 2019-08-31 21:24:38 UTC+0000                                 
0xfffffa803281db10 chrome.exe             2876   3252      9      173      1      1 2019-08-31 21:24:38 UTC+0000                                 
0xfffffa8032f49b10 chrome.exe             3640   3252     12      134      1      1 2019-08-31 21:24:39 UTC+0000                                 
0xfffffa8032986060 dwm.exe                5720    828      5      203      1      0 2019-09-01 14:43:15 UTC+0000                                 
0xfffffa8035f1c600 chrome.exe             3596   3252     12      142      1      1 2019-09-02 10:33:41 UTC+0000                                 
0xfffffa8032ca37d0 cmd.exe                5000   1136      0 --------      0      0 2019-09-03 15:51:00 UTC+0000   2019-09-03 15:51:03 UTC+0000  
0xfffffa8031e5b060 wsmprovhost.ex         6192    620     10      295      0      0 2019-09-03 17:04:08 UTC+0000                                 
0xfffffa8034c51060 wsmprovhost.ex         6840    620     11      652      0      0 2019-09-03 17:04:10 UTC+0000                                 
0xfffffa8031518060 HOSTNAME.EXE           7084   6840      0 --------      0      0 2019-09-03 17:04:10 UTC+0000   2019-09-03 17:04:10 UTC+0000  
0xfffffa80332161f0 systeminfo.exe         6524   6840      0 --------      0      0 2019-09-03 17:04:11 UTC+0000   2019-09-03 17:04:17 UTC+0000  
0xfffffa8032cb1a00 DumpIt.exe             6264   6840      6      104      0      0 2019-09-03 17:04:18 UTC+0000                                 
0xfffffa8034d5f060 conhost.exe            4428    344      2       33      0      0 2019-09-03 17:04:18 UTC+0000                                 
0xfffffa8031855940 ??                      0 83...6 83...0 -------- ------      1                                                              
0xfffffa80318557f8                      22...8 84...0 83...4 -------- ------      1                                                              
