Offset(V)          Name                    PID   PPID   Thds     Hnds   Sess  Wow64 Start                          Exit                          
------------------ -------------------- ------ ------ ------ -------- ------ ------ ------------------------------ ------------------------------
0xffff938add08b580 svchost.exe             508    616      9        0      0      0 2019-09-16 18:42:19 UTC+0000                                 
0xffff938adcd45580 svchost.exe            2236    616      3        0      0      0 2019-09-16 18:42:19 UTC+0000                                 
0xffff938adcd43080 svchost.exe            1736    616      2        0      0      0 2019-09-16 18:42:19 UTC+0000                                 
0xffff938adcd3d580 svchost.exe            2888    616     14        0      0      0 2019-09-16 18:42:19 UTC+0000                                 
0xffff938add0c2580 ac.autoupdate.          964    616      2        0      0      0 2019-09-16 18:42:19 UTC+0000                                 
0xffff938add0f0580 svchost.exe            1152    616      3        0      0      0 2019-09-16 18:42:19 UTC+0000                                 
0xffff938add0ec580 dllhost.exe            1600    616      5        0      0      0 2019-09-16 18:42:20 UTC+0000                                 
0xffff938add0ee580 Sysmon.exe             1100    616     14        0      0      0 2019-09-16 18:42:20 UTC+0000                                 
0xffff938add0e8580 vmtoolsd.exe           1136    616      9        0      0      0 2019-09-16 18:42:20 UTC+0000                                 
0xffff938add0d6580 MsMpEng.exe            1252    616     24        0      0      0 2019-09-16 18:42:20 UTC+0000                                 
0xffff938add0d4580 SecurityHealth         1264    616      5        0      0      0 2019-09-16 18:42:20 UTC+0000                                 
0xffff938add0e6580 armsvc.exe             1472    616      2        0      0      1 2019-09-16 18:42:20 UTC+0000                                 
0xffff938add0ce580 esensor.exe            1520    616     45        0      0      0 2019-09-16 18:42:20 UTC+0000                                 
0xffff938add812580 VGAuthService.         1896    616      2        0      0      0 2019-09-16 18:42:20 UTC+0000                                 
0xffff938add8ae580 prunsrv.exe            1892    616      7        0      0      0 2019-09-16 18:42:20 UTC+0000                                 
0xffff938add161580 TaniumClient.e         2220    616      4        0      0      1 2019-09-16 18:42:21 UTC+0000                                 
0xffff938adea7f580 svchost.exe            3568    616      3        0      0      0 2019-09-16 18:42:26 UTC+0000                                 
0xffff938adea04580 dllhost.exe            3724    616     10        0      0      0 2019-09-16 18:42:29 UTC+0000                                 
0xffff938adf408080 conhost.exe            3780   1892      4        0      0      0 2019-09-16 18:42:29 UTC+0000                                 
0xffff938ae06a6580 svchost.exe            4092    616      4        0      0      0 2019-09-16 18:42:37 UTC+0000                                 
0xffff938ae086f580 msdtc.exe              4156    616      9        0      0      0 2019-09-16 18:42:40 UTC+0000                                 
0xffff938ae088e580 java.exe               4196   1892     22        0      0      1 2019-09-16 18:42:42 UTC+0000                                 
0xffff938adced8580 wdnsfltr.exe           4668   1252      6        0      0      0 2019-09-16 18:42:49 UTC+0000                                 
0xffff938ae09df080 svchost.exe            4860    616     15        0      0      0 2019-09-16 18:42:57 UTC+0000                                 
0xffff938add314580 svchost.exe            4968    616      7        0      0      0 2019-09-16 18:43:00 UTC+0000                                 
0xffff938adcf56580 NisSrv.exe             4516    616      7        0      0      0 2019-09-16 18:43:38 UTC+0000                                 
0xffff938add8db580 WmiPrvSE.exe           3984    776     11        0      0      0 2019-09-16 18:44:15 UTC+0000                                 
0xffff938add289080 unsecapp.exe           1412    776      3        0      0      0 2019-09-16 18:44:16 UTC+0000                                 
0xffff938ae07e5580 svchost.exe            5520    616     18        0      0      0 2019-09-16 18:44:52 UTC+0000                                 
0xffff938ae0748580 svchost.exe            6108    616      0 --------      0      0 2019-09-16 18:45:43 UTC+0000   2019-09-16 18:47:11 UTC+0000  
0xffff938ae00b6580 svchost.exe            5116    616      6        0      0      0 2019-09-16 18:45:46 UTC+0000                                 
0xffff938add306580 svchost.exe            5896    616      5        0      0      0 2019-09-16 18:46:15 UTC+0000                                 
0xffff938add333580 GoogleUpdate.e         4908   3980      5        0      0      1 2019-09-16 18:46:34 UTC+0000                                 
0xffff938add671580 svchost.exe            4472    616      6        0      0      0 2019-09-16 18:48:01 UTC+0000                                 
0xffff938add2fe580 SearchIndexer.         3388    616     15        0      0      0 2019-09-16 18:48:20 UTC+0000                                 
0xffff938add457580 svchost.exe            5960    616      2        0      0      0 2019-09-16 18:53:04 UTC+0000                                 
0xffff938add514580 svchost.exe            4776    616      2        0      0      0 2019-09-16 18:53:33 UTC+0000                                 
0xffff938ae00a5580 svchost.exe            4980    616      8        0      0      0 2019-09-16 20:02:59 UTC+0000                                 
0xffff938ade350200 svchost.exe            7480    616      5        0      0      0 2019-09-16 20:07:23 UTC+0000                                 
0xffff938adf3da080 wsmprovhost.ex        14992    776     12        0      0      0 2019-09-17 14:17:57 UTC+0000                                 
0xffff938adf304080 TaniumClient.e        12192   2220      6        0      0      1 2019-09-17 20:46:31 UTC+0000                                 
0xffff938ae173b580 conhost.exe            8148  12192      4        0      0      0 2019-09-17 20:46:31 UTC+0000                                 
0xffff938ae1798080 appidcertstore        17176   1464      8        0      0      0 2019-09-17 20:49:30 UTC+0000                                 
0xffff938ae1520580 conhost.exe            8872  17176      5        0      0      0 2019-09-17 20:49:30 UTC+0000                                 
0xffff938ade1da080 appidcertstore        20768   1464      1        0      0      0 2019-09-17 20:58:58 UTC+0000                                 
0xffff938ae15cb580 conhost.exe           17768  20768      5        0      0      0 2019-09-17 20:58:58 UTC+0000                                 
0xffff938adec93580 appidcertstore        13996   1464      1        0      0      0 2019-09-17 21:00:01 UTC+0000                                 
0xffff938ae1393080 conhost.exe           20112  13996      5        0      0      0 2019-09-17 21:00:01 UTC+0000                                 
0xffff938ae0d8e580 appidcertstore        10288   1464      1        0      0      0 2019-09-17 21:05:03 UTC+0000                                 
0xffff938adf152500 conhost.exe           11028  10288      5        0      0      0 2019-09-17 21:05:03 UTC+0000                                 
0xffff938ae1304580 wsmprovhost.ex         5528    776     13        0      0      0 2019-09-17 21:05:42 UTC+0000                                 
0xffff938ae0d87580 svchost.exe            8488    616      9        0      0      0 2019-09-17 21:11:33 UTC+0000                                 
0xffff938adf34d580 svchost.exe           17524    616      3        0      0      0 2019-09-17 21:11:34 UTC+0000                                 
0xffff938adf236080 appidcertstore         1012   1464      1        0      0      0 2019-09-17 21:11:55 UTC+0000                                 
0xffff938ae11f3580 conhost.exe             740   1012      4        0      0      0 2019-09-17 21:11:55 UTC+0000                                 
0xffff938adf393080 wsmprovhost.ex        19852    776     17        0      0      0 2019-09-17 21:12:05 UTC+0000                                 
0xffff938ae1b09580 SearchProtocol        20192   3388      9        0 ------      0 2019-09-17 21:12:08 UTC+0000                                 
0xffff938ae1404580 SearchFilterHo        14580   3388      6        0      0      0 2019-09-17 21:12:08 UTC+0000                                 
0xffff938ae12c9580 wsmprovhost.ex        14388    776     20        0      0      0 2019-09-17 21:12:09 UTC+0000                                 
0xffff938ae077f080 HOSTNAME.EXE           6580  14388      0 --------      0      0 2019-09-17 21:12:12 UTC+0000   2019-09-17 21:12:12 UTC+0000  
0xffff938ae0806080 systeminfo.exe         4076  14388      0 --------      0      0 2019-09-17 21:12:13 UTC+0000   2019-09-17 21:12:17 UTC+0000  
0xffff938ae07ed580 WmiPrvSE.exe          18732    776      0 --------      0      0 2019-09-17 21:12:16 UTC+0000   2019-09-17 21:13:46 UTC+0000  
0xffff938ae1429580 TrustedInstall        13956    616      8        0      0      0 2019-09-17 21:12:16 UTC+0000                                 
0xffff938ade1ce080 TiWorker.exe          12808    776      8        0      0      0 2019-09-17 21:12:16 UTC+0000                                 
0xffff938adf3d9080 DumpIt.exe            13788  14388      6        0      0      0 2019-09-17 21:12:17 UTC+0000                                 
0xffff938ae002b080 conhost.exe            6720  13788      6        0      0      0 2019-09-17 21:12:18 UTC+0000                                 
