Offset(V)          Name                    PID   PPID   Thds     Hnds   Sess  Wow64 Start                          Exit                          
------------------ -------------------- ------ ------ ------ -------- ------ ------ ------------------------------ ------------------------------
0xffffbb085650a580 svchost.exe             628    680      2        0      0      0 2019-09-16 19:47:17 UTC+0000                                 
0xffffbb0854b0d580 prunsrv.exe            2508    680      7        0      0      0 2019-09-16 19:47:18 UTC+0000                                 
0xffffbb0854b1b580 dllhost.exe            2772    680     18        0      0      0 2019-09-16 19:47:18 UTC+0000                                 
0xffffbb0852ff8580 svchost.exe            2620    680      2        0      0      0 2019-09-16 19:47:18 UTC+0000                                 
0xffffbb0855853080 svchost.exe            2824    680      3        0      0      0 2019-09-16 19:47:18 UTC+0000                                 
0xffffbb0854b2c580 Sysmon.exe             1848    680     14        0      0      0 2019-09-16 19:47:18 UTC+0000                                 
0xffffbb0854b24080 SecurityHealth         2012    680      5        0      0      0 2019-09-16 19:47:18 UTC+0000                                 
0xffffbb0854b32080 vmtoolsd.exe           2096    680      9        0      0      0 2019-09-16 19:47:18 UTC+0000                                 
0xffffbb08558d3580 VGAuthService.         2424    680      2        0      0      0 2019-09-16 19:47:19 UTC+0000                                 
0xffffbb08558f0580 svchost.exe            1320    680     10        0      0      0 2019-09-16 19:47:19 UTC+0000                                 
0xffffbb0855938580 svchost.exe            2504    680      7        0      0      0 2019-09-16 19:47:19 UTC+0000                                 
0xffffbb08566d6580 MsMpEng.exe            2828    680     25        0      0      0 2019-09-16 19:47:20 UTC+0000                                 
0xffffbb0856718580 svchost.exe            2260    680      7        0      0      0 2019-09-16 19:47:22 UTC+0000                                 
0xffffbb0856737580 conhost.exe            3084   2508      4        0      0      0 2019-09-16 19:47:23 UTC+0000                                 
0xffffbb0856840580 svchost.exe            3496    680      5        0      0      0 2019-09-16 19:47:29 UTC+0000                                 
0xffffbb085683c580 svchost.exe            3536    680     26        0      0      0 2019-09-16 19:47:29 UTC+0000                                 
0xffffbb0856895080 java.exe               3592   2508     32        0      0      1 2019-09-16 19:47:30 UTC+0000                                 
0xffffbb0856180580 dllhost.exe            3632    680     10        0      0      0 2019-09-16 19:47:30 UTC+0000                                 
0xffffbb0856837580 svchost.exe            3184    680      4        0      0      0 2019-09-16 19:47:44 UTC+0000                                 
0xffffbb0852ec5280 msdtc.exe              4344    680      9        0      0      0 2019-09-16 19:47:55 UTC+0000                                 
0xffffbb0856648580 svchost.exe            4712    680     13        0      0      0 2019-09-16 19:48:20 UTC+0000                                 
0xffffbb08563d2580 svchost.exe            5060    680      6        0      0      0 2019-09-16 19:49:13 UTC+0000                                 
0xffffbb0856c5e080 svchost.exe            1900    680     18        0      0      0 2019-09-16 19:50:22 UTC+0000                                 
0xffffbb085651a580 dwm.exe                3296    600     12        0      1      0 2019-09-16 19:50:49 UTC+0000                                 
0xffffbb0852d17580 NisSrv.exe             3244    680      7        0      0      0 2019-09-16 19:51:14 UTC+0000                                 
0xffffbb0855457580 svchost.exe            4940    680      0 --------      0      0 2019-09-16 19:51:59 UTC+0000   2019-09-16 19:53:15 UTC+0000  
0xffffbb0855451580 svchost.exe            1296    680      7        0      0      0 2019-09-16 19:52:00 UTC+0000                                 
0xffffbb085331c580 svchost.exe            5112    680      4        0      0      0 2019-09-16 19:52:01 UTC+0000                                 
0xffffbb08533a9580 WmiPrvSE.exe           4056    864     11        0      0      0 2019-09-16 19:52:10 UTC+0000                                 
0xffffbb08533e9580 unsecapp.exe           2476    864      3        0      0      0 2019-09-16 19:52:11 UTC+0000                                 
0xffffbb085368c580 GoogleUpdate.e         5940   2712      5        0      0      1 2019-09-16 19:52:26 UTC+0000                                 
0xffffbb085362c080 svchost.exe            5556    680      6        0      0      0 2019-09-16 19:53:47 UTC+0000                                 
0xffffbb0855498080 SearchIndexer.         4676    680     17        0      0      0 2019-09-16 19:53:49 UTC+0000                                 
0xffffbb0853458580 svchost.exe            7964    680      5        0      0      0 2019-09-16 19:57:42 UTC+0000                                 
0xffffbb0852f1c580 svchost.exe            8144    680      3        0      0      0 2019-09-16 19:57:45 UTC+0000                                 
0xffffbb08568f13c0 svchost.exe            2132    680      7        0      0      0 2019-09-16 20:10:34 UTC+0000                                 
0xffffbb08552e1580 svchost.exe            7928    680      5        0      0      0 2019-09-16 20:12:54 UTC+0000                                 
0xffffbb0853749080 wsmprovhost.ex         8352    864     12        0      0      0 2019-09-17 14:17:59 UTC+0000                                 
0xffffbb085516c080 svchost.exe            7264    680      5        0      0      0 2019-09-17 20:21:09 UTC+0000                                 
0xffffbb085521f080 svchost.exe            8100    680     10        0      0      0 2019-09-17 20:24:15 UTC+0000                                 
0xffffbb0856838580 svchost.exe            8764    680      4        0      0      0 2019-09-17 20:27:54 UTC+0000                                 
0xffffbb08573be580 svchost.exe            2492    680      8        0      1      0 2019-09-17 20:27:56 UTC+0000                                 
0xffffbb08572d1580 sihost.exe             8172   1668      9        0      1      0 2019-09-17 20:27:56 UTC+0000                                 
0xffffbb0857066080 svchost.exe            3440    680      4        0      1      0 2019-09-17 20:27:57 UTC+0000                                 
0xffffbb0855d36080 taskhostw.exe          1776   1536      7        0      1      0 2019-09-17 20:27:58 UTC+0000                                 
0xffffbb0855ca0580 NetBanner.exe          7872   1536      5        0      1      0 2019-09-17 20:27:59 UTC+0000                                 
0xffffbb0855cba580 svchost.exe            6632    680      3        0      0      0 2019-09-17 20:28:02 UTC+0000                                 
0xffffbb0855cac580 userinit.exe           5332    600      0 --------      1      0 2019-09-17 20:28:02 UTC+0000   2019-09-17 20:28:35 UTC+0000  
0xffffbb08560ba580 ctfmon.exe             5800   6632      7        0      1      0 2019-09-17 20:28:03 UTC+0000                                 
0xffffbb08560a6580 explorer.exe            456   5332     28        0      1      0 2019-09-17 20:28:04 UTC+0000                                 
0xffffbb08572e7080 ShellExperienc         6600    864     22        0      1      0 2019-09-17 20:28:15 UTC+0000                                 
0xffffbb08572e5580 SearchUI.exe           6108    864     21        0      1      0 2019-09-17 20:28:19 UTC+0000                                 
0xffffbb0857397580 RuntimeBroker.         6776    864      5        0      1      0 2019-09-17 20:28:20 UTC+0000                                 
0xffffbb0857345580 RuntimeBroker.         4720    864     16        0      1      0 2019-09-17 20:28:22 UTC+0000                                 
0xffffbb0855c2d580 RuntimeBroker.         9100    864      4        0      1      0 2019-09-17 20:28:23 UTC+0000                                 
0xffffbb0857376580 MSASCuiL.exe           1044    456      1        0      1      0 2019-09-17 20:28:37 UTC+0000                                 
0xffffbb0854ed5580 DVTrayApp.exe          5236    456      5        0      1      0 2019-09-17 20:28:38 UTC+0000                                 
0xffffbb08573eb580 ac.activclient         6264    456     15        0      1      0 2019-09-17 20:28:40 UTC+0000                                 
0xffffbb0855c9c580 vmtoolsd.exe           6504    456      5        0      1      0 2019-09-17 20:28:41 UTC+0000                                 
0xffffbb0854eaf580 acrotray.exe           7968    720      1        0      1      1 2019-09-17 20:28:51 UTC+0000                                 
0xffffbb085744b580 acevents.exe           3016    864     13        0      1      0 2019-09-17 20:28:57 UTC+0000                                 
0xffffbb08572be580 dllhost.exe            6268    864      4        0      1      0 2019-09-17 20:29:49 UTC+0000                                 
0xffffbb0857372580 svchost.exe            8108    680      2        0      1      0 2019-09-17 20:29:57 UTC+0000                                 
