Offset(P)          Name                    PID pslist psscan thrdproc pspcid csrss session deskthrd ExitTime
------------------ -------------------- ------ ------ ------ -------- ------ ----- ------- -------- --------
0x000000000c4b5080 wsmprovhost.ex         4040 True   True   True     False  True  True    False    
0x0000000111b1f800 mdm.exe                1948 True   True   True     False  True  True    False    
0x0000000106943800 svchost.exe             684 True   True   True     False  True  True    False    
0x00000001068e0680 lsass.exe               608 True   True   True     False  True  True    False    
0x000000011fe90080 SearchIndexer.         1204 True   True   True     False  True  True    False    
0x000000000f7a1080 DumpIt.exe             2624 False  True   True     False  True  False   False    
0x0000000111a05800 svchost.exe            1840 True   True   True     False  True  True    False    
0x000000011fec7800 WmiPrvSE.exe           2888 True   True   True     False  True  True    False    
0x000000011fe16080 msdtc.exe              2004 True   True   True     False  True  True    False    
0x000000010012f800 dllhost.exe             256 True   True   True     False  True  True    False    
0x0000000100120600 svchost.exe            2332 True   True   True     False  True  True    False    
0x00000001070ac800 svchost.exe            1360 True   True   True     False  True  True    False    
0x00000001068ef080 services.exe            592 True   True   True     False  True  True    False    
0x000000010682d800 svchost.exe             992 True   True   True     False  True  True    False    
0x00000001069fa080 LogonUI.exe             836 True   True   True     False  True  True    False    
0x000000010682f800 svchost.exe             272 True   True   True     False  True  True    False    
0x00000001069f0800 svchost.exe             904 True   True   True     False  True  True    False    
0x00000001068822c0 winlogon.exe            524 True   True   True     False  True  True    False    
0x000000012566b300 NisSrv.exe             3628 True   True   True     False  True  True    False    
0x000000010699d080 dwm.exe                 856 True   True   True     False  True  True    False    
0x0000000111bee340 VGAuthService.          848 True   True   True     False  True  True    False    
0x0000000111b7e5c0 conhost.exe            1180 True   True   True     False  True  True    False    
0x0000000139fb3800 MpCmdRun.exe           2380 True   True   True     False  True  True    False    
0x00000001070a8400 spoolsv.exe            1448 True   True   True     False  True  True    False    
0x00000001070d4800 svchost.exe            1192 True   True   True     False  True  True    False    
0x0000000117241540 java.exe               2092 True   True   True     False  True  True    False    
0x00000001070d8800 svchost.exe            1136 True   True   True     False  True  True    False    
0x00000001069785c0 svchost.exe             748 True   True   True     False  True  True    False    
0x0000000107036600 svchost.exe             280 True   True   True     False  True  True    False    
0x0000000111b78800 vmtoolsd.exe            692 True   True   True     False  True  True    False    
0x0000000111ae4080 prunsrv.exe            1996 True   True   True     False  True  True    False    
0x0000000125712700 GoogleUpdate.e         2972 True   True   True     False  True  True    False    
0x0000000111b7a800 MsMpEng.exe             616 True   True   True     False  True  True    False    
0x0000000106867780 wininit.exe             508 True   True   True     False  True  True    False    
0x0000000107186080 svchost.exe            2436 True   True   True     False  True  True    False    
0x0000000106833800 svchost.exe             952 True   True   True     False  True  True    False    
0x0000000022e15080 conhost.exe            2208 False  True   True     False  True  False   False    
0x00000001003fa080 csrss.exe               388 True   True   True     False  False True    False    
0x000000000fdb4080 systeminfo.exe         1912 True   True   False    False  False True    False    2019-09-19 22:32:28 UTC+0000
0x000000011722e040 MemCompression         2056 True   True   False    False  False False   False    
0x000000010689d080 csrss.exe               464 True   True   True     False  False True    False    
0x0000000100460340 smss.exe                296 True   True   True     False  False False   False    
0x000000013cab0040 System                    4 True   True   True     False  False False   False    
0x000000011feb3800 䂈庋�...         15...8 True   False  False    False  False False   False    
0x00000001068a3080 smss.exe                456 True   True   False    False  False True    False    2019-09-17 21:45:09 UTC+0000
0x000000011feb37f8                      393216 True   False  False    False  False False   False    
0x0000000017f77080 SearchProtocol         4032 False  True   True     False  False False   False    
0x00000000181d1800 SearchFilterHo         2716 False  True   True     False  False False   False    
