Offset(V)          Name                    PID   PPID   Thds     Hnds   Sess  Wow64 Start                          Exit                          
------------------ -------------------- ------ ------ ------ -------- ------ ------ ------------------------------ ------------------------------
0xfffffa80313bdb10 cmd.exe                3144   6800      0 --------      0      0 2019-09-03 17:19:30 UTC+0000   2019-09-03 17:19:30 UTC+0000  
0xfffffa8031dc9060 NETSTAT.EXE            6072   3144      0 --------      0      0 2019-09-03 17:19:30 UTC+0000   2019-09-03 17:19:30 UTC+0000  
0xfffffa8032dc2990 cmd.exe                3884   6800      0 --------      0      0 2019-09-03 17:28:35 UTC+0000   2019-09-03 17:28:35 UTC+0000  
0xfffffa8032291b10 NETSTAT.EXE            2660   3884      0 --------      0      0 2019-09-03 17:28:35 UTC+0000   2019-09-03 17:28:35 UTC+0000  
0xfffffa80313f2490 cmd.exe                3932   6800      0 --------      0      0 2019-09-03 17:37:50 UTC+0000   2019-09-03 17:37:50 UTC+0000  
0xfffffa803123b060 NETSTAT.EXE            6284   3932      0 --------      0      0 2019-09-03 17:37:50 UTC+0000   2019-09-03 17:37:50 UTC+0000  
0xfffffa803419b060 wsmprovhost.ex         3008    632     12      306      0      0 2019-09-03 17:45:38 UTC+0000                                 
0xfffffa8033752060 wsmprovhost.ex         3980    632     13      634      0      0 2019-09-03 17:45:39 UTC+0000                                 
0xfffffa80321a51b0 HOSTNAME.EXE           4692   3980      0 --------      0      0 2019-09-03 17:45:40 UTC+0000   2019-09-03 17:45:40 UTC+0000  
0xfffffa80314cb470 systeminfo.exe         5196   3980      0 --------      0      0 2019-09-03 17:45:40 UTC+0000   2019-09-03 17:45:43 UTC+0000  
0xfffffa8032c14060 WmiPrvSE.exe           3728    632      0 --------      0      0 2019-09-03 17:45:42 UTC+0000   2019-09-03 17:47:03 UTC+0000  
0xfffffa80315288c0 DumpIt.exe             2592   3980      5      104      0      0 2019-09-03 17:45:43 UTC+0000                                 
0xfffffa8031866300 conhost.exe            5508    344      2       33      0      0 2019-09-03 17:45:43 UTC+0000                                 
0xfffffa8035a1c340 cmd.exe                 392   6800      0 -------- ------      0 2019-09-03 17:46:58 UTC+0000   2019-09-03 17:46:59 UTC+0000  
0xfffffa8032dd8690 NETSTAT.EXE            6116    392      0 -------- ------      0 2019-09-03 17:46:59 UTC+0000   2019-09-03 17:46:59 UTC+0000  
0xfffffa803177db10 conhost.exe            6100    344      0 -------- ------      0 2019-09-03 17:47:00 UTC+0000   2019-09-03 17:47:00 UTC+0000  
