Offset(P)          Proto    Local Address                  Foreign Address      State            Pid      Owner          Created
0x11479c010        UDPv4    0.0.0.0:0                      *:*                                   1596     dns.exe        2019-09-16 19:36:11 UTC+0000
0x11479c250        UDPv4    0.0.0.0:0                      *:*                                   1596     dns.exe        2019-09-16 19:36:11 UTC+0000
0x11479cb90        UDPv4    0.0.0.0:0                      *:*                                   1596     dns.exe        2019-09-16 19:36:11 UTC+0000
0x11479d580        UDPv4    0.0.0.0:0                      *:*                                   1596     dns.exe        2019-09-16 19:36:11 UTC+0000
0x11479dec0        UDPv4    0.0.0.0:0                      *:*                                   1596     dns.exe        2019-09-16 19:36:11 UTC+0000
0x11479e8f0        UDPv4    0.0.0.0:0                      *:*                                   1596     dns.exe        2019-09-16 19:36:11 UTC+0000
0x11479fb90        UDPv4    0.0.0.0:0                      *:*                                   1596     dns.exe        2019-09-16 19:36:11 UTC+0000
0x1147a0580        UDPv4    0.0.0.0:0                      *:*                                   1596     dns.exe        2019-09-16 19:36:11 UTC+0000
0x1147a0ad0        UDPv4    0.0.0.0:0                      *:*                                   1596     dns.exe        2019-09-16 19:36:11 UTC+0000
0x1147a0ec0        UDPv4    0.0.0.0:0                      *:*                                   1596     dns.exe        2019-09-16 19:36:11 UTC+0000
0x1147a1580        UDPv4    0.0.0.0:0                      *:*                                   1596     dns.exe        2019-09-16 19:36:11 UTC+0000
0x1147a1970        UDPv4    0.0.0.0:0                      *:*                                   1596     dns.exe        2019-09-16 19:36:11 UTC+0000
0x1147a2330        UDPv4    0.0.0.0:0                      *:*                                   1596     dns.exe        2019-09-16 19:36:11 UTC+0000
0x1147a2cf0        UDPv4    0.0.0.0:0                      *:*                                   1596     dns.exe        2019-09-16 19:36:11 UTC+0000
0x1147a3010        UDPv4    0.0.0.0:0                      *:*                                   1596     dns.exe        2019-09-16 19:36:11 UTC+0000
0x1147a3260        UDPv4    0.0.0.0:0                      *:*                                   1596     dns.exe        2019-09-16 19:36:11 UTC+0000
0x1147a36d0        UDPv4    0.0.0.0:0                      *:*                                   1596     dns.exe        2019-09-16 19:36:11 UTC+0000
0x1147a3c20        UDPv4    0.0.0.0:0                      *:*                                   1596     dns.exe        2019-09-16 19:36:11 UTC+0000
0x1147a4b90        UDPv4    0.0.0.0:0                      *:*                                   1596     dns.exe        2019-09-16 19:36:11 UTC+0000
0x1147a53b0        UDPv4    0.0.0.0:0                      *:*                                   1596     dns.exe        2019-09-16 19:36:11 UTC+0000
0x1147a5cf0        UDPv4    0.0.0.0:0                      *:*                                   1596     dns.exe        2019-09-16 19:36:11 UTC+0000
0x1147a6010        UDPv4    0.0.0.0:0                      *:*                                   1596     dns.exe        2019-09-16 19:36:11 UTC+0000
0x1147a62e0        UDPv4    0.0.0.0:0                      *:*                                   1596     dns.exe        2019-09-16 19:36:11 UTC+0000
0x1147a66d0        UDPv4    0.0.0.0:0                      *:*                                   1596     dns.exe        2019-09-16 19:36:11 UTC+0000
0x1147a8500        UDPv4    0.0.0.0:0                      *:*                                   1596     dns.exe        2019-09-16 19:36:11 UTC+0000
0x1147a8a50        UDPv4    0.0.0.0:0                      *:*                                   1596     dns.exe        2019-09-16 19:36:11 UTC+0000
0x1147a8ec0        UDPv4    0.0.0.0:0                      *:*                                   1596     dns.exe        2019-09-16 19:36:11 UTC+0000
0x1147a9970        UDPv4    0.0.0.0:0                      *:*                                   1596     dns.exe        2019-09-16 19:36:11 UTC+0000
0x1147aa010        UDPv4    0.0.0.0:0                      *:*                                   1596     dns.exe        2019-09-16 19:36:11 UTC+0000
0x1147aa250        UDPv4    0.0.0.0:0                      *:*                                   1596     dns.exe        2019-09-16 19:36:11 UTC+0000
0x1147aab90        UDPv4    0.0.0.0:0                      *:*                                   1596     dns.exe        2019-09-16 19:36:11 UTC+0000
0x1147ab580        UDPv4    0.0.0.0:0                      *:*                                   1596     dns.exe        2019-09-16 19:36:11 UTC+0000
0x1147abec0        UDPv4    0.0.0.0:0                      *:*                                   1596     dns.exe        2019-09-16 19:36:11 UTC+0000
0x1147ac970        UDPv4    0.0.0.0:0                      *:*                                   1596     dns.exe        2019-09-16 19:36:11 UTC+0000
0x1147acec0        UDPv4    0.0.0.0:0                      *:*                                   1596     dns.exe        2019-09-16 19:36:11 UTC+0000
0x1147ad250        UDPv4    0.0.0.0:0                      *:*                                   1596     dns.exe        2019-09-16 19:36:11 UTC+0000
0x1147ad7a0        UDPv4    0.0.0.0:0                      *:*                                   1596     dns.exe        2019-09-16 19:36:11 UTC+0000
0x1147adb90        UDPv4    0.0.0.0:0                      *:*                                   1596     dns.exe        2019-09-16 19:36:11 UTC+0000
0x1147ae580        UDPv4    0.0.0.0:0                      *:*                                   1596     dns.exe        2019-09-16 19:36:11 UTC+0000
0x1147ae970        UDPv4    0.0.0.0:0                      *:*                                   1596     dns.exe        2019-09-16 19:36:11 UTC+0000
0x1147aeec0        UDPv4    0.0.0.0:0                      *:*                                   1596     dns.exe        2019-09-16 19:36:11 UTC+0000
0x1147af250        UDPv4    0.0.0.0:0                      *:*                                   1596     dns.exe        2019-09-16 19:36:11 UTC+0000
0x1147afb90        UDPv4    0.0.0.0:0                      *:*                                   1596     dns.exe        2019-09-16 19:36:11 UTC+0000
0x1147b0580        UDPv4    0.0.0.0:0                      *:*                                   1596     dns.exe        2019-09-16 19:36:11 UTC+0000
0x1147b0ec0        UDPv4    0.0.0.0:0                      *:*                                   1596     dns.exe        2019-09-16 19:36:11 UTC+0000
0x1147b1580        UDPv4    0.0.0.0:0                      *:*                                   1596     dns.exe        2019-09-16 19:36:11 UTC+0000
0x1147b1970        UDPv4    0.0.0.0:0                      *:*                                   1596     dns.exe        2019-09-16 19:36:11 UTC+0000
0x1147b23b0        UDPv4    0.0.0.0:0                      *:*                                   1596     dns.exe        2019-09-16 19:36:11 UTC+0000
0x1147b3010        UDPv4    0.0.0.0:0                      *:*                                   1596     dns.exe        2019-09-16 19:36:11 UTC+0000
0x1147b36d0        UDPv4    0.0.0.0:0                      *:*                                   1596     dns.exe        2019-09-16 19:36:11 UTC+0000
0x1147b3c20        UDPv4    0.0.0.0:0                      *:*                                   1596     dns.exe        2019-09-16 19:36:11 UTC+0000
0x1147b4b90        UDPv4    0.0.0.0:0                      *:*                                   1596     dns.exe        2019-09-16 19:36:11 UTC+0000
0x1147b53b0        UDPv4    0.0.0.0:0                      *:*                                   1596     dns.exe        2019-09-16 19:36:11 UTC+0000
0x1147b5900        UDPv4    0.0.0.0:0                      *:*                                   1596     dns.exe        2019-09-16 19:36:11 UTC+0000
0x1147b5cf0        UDPv4    0.0.0.0:0                      *:*                                   1596     dns.exe        2019-09-16 19:36:11 UTC+0000
0x1147b6010        UDPv4    0.0.0.0:0                      *:*                                   1596     dns.exe        2019-09-16 19:36:11 UTC+0000
0x1147b62e0        UDPv4    0.0.0.0:0                      *:*                                   1596     dns.exe        2019-09-16 19:36:11 UTC+0000
0x1147b66d0        UDPv4    0.0.0.0:0                      *:*                                   1596     dns.exe        2019-09-16 19:36:11 UTC+0000
0x1147b7b90        UDPv4    0.0.0.0:0                      *:*                                   1596     dns.exe        2019-09-16 19:36:11 UTC+0000
0x1147b83b0        UDPv4    0.0.0.0:0                      *:*                                   1596     dns.exe        2019-09-16 19:36:11 UTC+0000
0x1147b8900        UDPv4    0.0.0.0:0                      *:*                                   1596     dns.exe        2019-09-16 19:36:11 UTC+0000
0x1147b8cf0        UDPv4    0.0.0.0:0                      *:*                                   1596     dns.exe        2019-09-16 19:36:11 UTC+0000
0x1147b9010        UDPv4    0.0.0.0:0                      *:*                                   1596     dns.exe        2019-09-16 19:36:11 UTC+0000
0x1147b96d0        UDPv4    0.0.0.0:0                      *:*                                   1596     dns.exe        2019-09-16 19:36:11 UTC+0000
0x1147bab90        UDPv4    0.0.0.0:0                      *:*                                   1596     dns.exe        2019-09-16 19:36:11 UTC+0000
0x1147bb580        UDPv4    0.0.0.0:0                      *:*                                   1596     dns.exe        2019-09-16 19:36:11 UTC+0000
0x1147bbec0        UDPv4    0.0.0.0:0                      *:*                                   1596     dns.exe        2019-09-16 19:36:11 UTC+0000
0x1147bc970        UDPv4    0.0.0.0:0                      *:*                                   1596     dns.exe        2019-09-16 19:36:11 UTC+0000
0x1147bd250        UDPv4    0.0.0.0:0                      *:*                                   1596     dns.exe        2019-09-16 19:36:11 UTC+0000
0x1147bd7a0        UDPv4    0.0.0.0:0                      *:*                                   1596     dns.exe        2019-09-16 19:36:11 UTC+0000
0x1147bdb90        UDPv4    0.0.0.0:0                      *:*                                   1596     dns.exe        2019-09-16 19:36:11 UTC+0000
0x1147be580        UDPv4    0.0.0.0:0                      *:*                                   1596     dns.exe        2019-09-16 19:36:11 UTC+0000
0x1147beec0        UDPv4    0.0.0.0:0                      *:*                                   1596     dns.exe        2019-09-16 19:36:11 UTC+0000
0x1147bf580        UDPv4    0.0.0.0:0                      *:*                                   1596     dns.exe        2019-09-16 19:36:11 UTC+0000
0x1147bf970        UDPv4    0.0.0.0:0                      *:*                                   1596     dns.exe        2019-09-16 19:36:11 UTC+0000
0x1147bfec0        UDPv4    0.0.0.0:0                      *:*                                   1596     dns.exe        2019-09-16 19:36:11 UTC+0000
0x1147c02e0        UDPv4    0.0.0.0:0                      *:*                                   1596     dns.exe        2019-09-16 19:36:11 UTC+0000
0x1147c0c20        UDPv4    0.0.0.0:0                      *:*                                   1596     dns.exe        2019-09-16 19:36:11 UTC+0000
0x1147c1970        UDPv4    0.0.0.0:0                      *:*                                   1596     dns.exe        2019-09-16 19:36:11 UTC+0000
0x1147c2320        UDPv4    0.0.0.0:0                      *:*                                   1596     dns.exe        2019-09-16 19:36:11 UTC+0000
0x1147c31e0        UDPv4    0.0.0.0:0                      *:*                                   1596     dns.exe        2019-09-16 19:36:11 UTC+0000
0x1147c3650        UDPv4    0.0.0.0:0                      *:*                                   1596     dns.exe        2019-09-16 19:36:11 UTC+0000
0x1147c3ba0        UDPv4    0.0.0.0:0                      *:*                                   1596     dns.exe        2019-09-16 19:36:11 UTC+0000
0x1147c42e0        UDPv4    0.0.0.0:0                      *:*                                   1596     dns.exe        2019-09-16 19:36:11 UTC+0000
0x1147c4ad0        UDPv4    0.0.0.0:0                      *:*                                   1596     dns.exe        2019-09-16 19:36:11 UTC+0000
0x1147c53b0        UDPv4    0.0.0.0:0                      *:*                                   1596     dns.exe        2019-09-16 19:36:11 UTC+0000
0x1147c5cf0        UDPv4    0.0.0.0:0                      *:*                                   1596     dns.exe        2019-09-16 19:36:11 UTC+0000
0x1147c6010        UDPv4    0.0.0.0:0                      *:*                                   1596     dns.exe        2019-09-16 19:36:11 UTC+0000
0x1147c62e0        UDPv4    0.0.0.0:0                      *:*                                   1596     dns.exe        2019-09-16 19:36:11 UTC+0000
0x1147c66d0        UDPv4    0.0.0.0:0                      *:*                                   1596     dns.exe        2019-09-16 19:36:11 UTC+0000
0x1147c7b90        UDPv4    0.0.0.0:0                      *:*                                   1596     dns.exe        2019-09-16 19:36:11 UTC+0000
0x1147c8260        UDPv4    0.0.0.0:0                      *:*                                   1596     dns.exe        2019-09-16 19:36:11 UTC+0000
0x1147c83b0        UDPv4    0.0.0.0:0                      *:*                                   1596     dns.exe        2019-09-16 19:36:11 UTC+0000
0x1147c8900        UDPv4    0.0.0.0:0                      *:*                                   1596     dns.exe        2019-09-16 19:36:11 UTC+0000
0x1147c8cf0        UDPv4    0.0.0.0:0                      *:*                                   1596     dns.exe        2019-09-16 19:36:11 UTC+0000
0x1147c9010        UDPv4    0.0.0.0:0                      *:*                                   1596     dns.exe        2019-09-16 19:36:11 UTC+0000
0x1147c96d0        UDPv4    0.0.0.0:0                      *:*                                   1596     dns.exe        2019-09-16 19:36:11 UTC+0000
0x1147cab90        UDPv4    0.0.0.0:0                      *:*                                   1596     dns.exe        2019-09-16 19:36:11 UTC+0000
0x1147cb500        UDPv4    0.0.0.0:0                      *:*                                   1596     dns.exe        2019-09-16 19:36:11 UTC+0000
0x1147cbec0        UDPv4    0.0.0.0:0                      *:*                                   1596     dns.exe        2019-09-16 19:36:11 UTC+0000
0x1147cc970        UDPv4    0.0.0.0:0                      *:*                                   1596     dns.exe        2019-09-16 19:36:11 UTC+0000
0x1147cd250        UDPv4    0.0.0.0:0                      *:*                                   1596     dns.exe        2019-09-16 19:36:11 UTC+0000
0x1147cd7a0        UDPv4    0.0.0.0:0                      *:*                                   1596     dns.exe        2019-09-16 19:36:11 UTC+0000
0x1147cdb90        UDPv4    0.0.0.0:0                      *:*                                   1596     dns.exe        2019-09-16 19:36:11 UTC+0000
0x1147ce580        UDPv4    0.0.0.0:0                      *:*                                   1596     dns.exe        2019-09-16 19:36:11 UTC+0000
0x1147ceec0        UDPv4    0.0.0.0:0                      *:*                                   1596     dns.exe        2019-09-16 19:36:11 UTC+0000
0x1147cf580        UDPv4    0.0.0.0:0                      *:*                                   1596     dns.exe        2019-09-16 19:36:11 UTC+0000
0x1147cf970        UDPv4    0.0.0.0:0                      *:*                                   1596     dns.exe        2019-09-16 19:36:11 UTC+0000
0x1147cfec0        UDPv4    0.0.0.0:0                      *:*                                   1596     dns.exe        2019-09-16 19:36:11 UTC+0000
0x1147d0570        UDPv4    0.0.0.0:0                      *:*                                   1596     dns.exe        2019-09-16 19:36:11 UTC+0000
0x1147d0570        UDPv6    :::0                           *:*                                   1596     dns.exe        2019-09-16 19:36:11 UTC+0000
0x1147d0ec0        UDPv4    0.0.0.0:0                      *:*                                   1596     dns.exe        2019-09-16 19:36:11 UTC+0000
0x1147d0ec0        UDPv6    :::0                           *:*                                   1596     dns.exe        2019-09-16 19:36:11 UTC+0000
0x1147d1570        UDPv4    0.0.0.0:0                      *:*                                   1596     dns.exe        2019-09-16 19:36:11 UTC+0000
0x1147d1570        UDPv6    :::0                           *:*                                   1596     dns.exe        2019-09-16 19:36:11 UTC+0000
0x1147d1960        UDPv4    0.0.0.0:0                      *:*                                   1596     dns.exe        2019-09-16 19:36:11 UTC+0000
0x1147d1960        UDPv6    :::0                           *:*                                   1596     dns.exe        2019-09-16 19:36:11 UTC+0000
0x1147d1ec0        UDPv4    0.0.0.0:0                      *:*                                   1596     dns.exe        2019-09-16 19:36:11 UTC+0000
0x1147d1ec0        UDPv6    :::0                           *:*                                   1596     dns.exe        2019-09-16 19:36:11 UTC+0000
0x1147d2240        UDPv4    0.0.0.0:0                      *:*                                   1596     dns.exe        2019-09-16 19:36:11 UTC+0000
0x1147d2240        UDPv6    :::0                           *:*                                   1596     dns.exe        2019-09-16 19:36:11 UTC+0000
0x1147d2b90        UDPv4    0.0.0.0:0                      *:*                                   1596     dns.exe        2019-09-16 19:36:11 UTC+0000
0x1147d2b90        UDPv6    :::0                           *:*                                   1596     dns.exe        2019-09-16 19:36:11 UTC+0000
0x1147d3010        UDPv4    0.0.0.0:0                      *:*                                   1596     dns.exe        2019-09-16 19:36:11 UTC+0000
0x1147d3010        UDPv6    :::0                           *:*                                   1596     dns.exe        2019-09-16 19:36:11 UTC+0000
0x1147d3570        UDPv4    0.0.0.0:0                      *:*                                   1596     dns.exe        2019-09-16 19:36:11 UTC+0000
0x1147d3570        UDPv6    :::0                           *:*                                   1596     dns.exe        2019-09-16 19:36:11 UTC+0000
0x1147d3ec0        UDPv4    0.0.0.0:0                      *:*                                   1596     dns.exe        2019-09-16 19:36:11 UTC+0000
0x1147d3ec0        UDPv6    :::0                           *:*                                   1596     dns.exe        2019-09-16 19:36:11 UTC+0000
0x1147d4750        UDPv4    0.0.0.0:0                      *:*                                   1596     dns.exe        2019-09-16 19:36:11 UTC+0000
0x1147d4750        UDPv6    :::0                           *:*                                   1596     dns.exe        2019-09-16 19:36:11 UTC+0000
0x1147d5cf0        UDPv4    0.0.0.0:0                      *:*                                   1596     dns.exe        2019-09-16 19:36:11 UTC+0000
0x1147d5cf0        UDPv6    :::0                           *:*                                   1596     dns.exe        2019-09-16 19:36:11 UTC+0000
0x1147d6010        UDPv4    0.0.0.0:0                      *:*                                   1596     dns.exe        2019-09-16 19:36:11 UTC+0000
0x1147d66d0        UDPv4    0.0.0.0:0                      *:*                                   1596     dns.exe        2019-09-16 19:36:11 UTC+0000
0x1147d66d0        UDPv6    :::0                           *:*                                   1596     dns.exe        2019-09-16 19:36:11 UTC+0000
0x1147d77a0        UDPv4    0.0.0.0:0                      *:*                                   1596     dns.exe        2019-09-16 19:36:11 UTC+0000
0x1147d77a0        UDPv6    :::0                           *:*                                   1596     dns.exe        2019-09-16 19:36:11 UTC+0000
0x1147d7b90        UDPv4    0.0.0.0:0                      *:*                                   1596     dns.exe        2019-09-16 19:36:11 UTC+0000
0x1147d83b0        UDPv4    0.0.0.0:0                      *:*                                   1596     dns.exe        2019-09-16 19:36:11 UTC+0000
0x1147d8cf0        UDPv4    0.0.0.0:0                      *:*                                   1596     dns.exe        2019-09-16 19:36:11 UTC+0000
0x1147d9010        UDPv4    0.0.0.0:0                      *:*                                   1596     dns.exe        2019-09-16 19:36:11 UTC+0000
0x1147d92e0        UDPv4    0.0.0.0:0                      *:*                                   1596     dns.exe        2019-09-16 19:36:11 UTC+0000
0x1147d92e0        UDPv6    :::0                           *:*                                   1596     dns.exe        2019-09-16 19:36:11 UTC+0000
0x1147d96d0        UDPv4    0.0.0.0:0                      *:*                                   1596     dns.exe        2019-09-16 19:36:11 UTC+0000
0x1147dab90        UDPv4    0.0.0.0:0                      *:*                                   1596     dns.exe        2019-09-16 19:36:11 UTC+0000
0x1147db260        UDPv4    0.0.0.0:0                      *:*                                   1596     dns.exe        2019-09-16 19:36:11 UTC+0000
0x1147db260        UDPv6    :::0                           *:*                                   1596     dns.exe        2019-09-16 19:36:11 UTC+0000
0x1147db3b0        UDPv4    0.0.0.0:0                      *:*                                   1596     dns.exe        2019-09-16 19:36:11 UTC+0000
0x1147dbcf0        UDPv4    0.0.0.0:0                      *:*                                   1596     dns.exe        2019-09-16 19:36:11 UTC+0000
0x1147dc010        UDPv4    0.0.0.0:0                      *:*                                   1596     dns.exe        2019-09-16 19:36:11 UTC+0000
0x1147dc6d0        UDPv4    0.0.0.0:0                      *:*                                   1596     dns.exe        2019-09-16 19:36:11 UTC+0000
0x1147dcc20        UDPv4    0.0.0.0:0                      *:*                                   1596     dns.exe        2019-09-16 19:36:11 UTC+0000
0x1147dcc20        UDPv6    :::0                           *:*                                   1596     dns.exe        2019-09-16 19:36:11 UTC+0000
0x1147ddb90        UDPv4    0.0.0.0:0                      *:*                                   1596     dns.exe        2019-09-16 19:36:11 UTC+0000
0x1147de580        UDPv4    0.0.0.0:0                      *:*                                   1596     dns.exe        2019-09-16 19:36:11 UTC+0000
0x1147deec0        UDPv4    0.0.0.0:0                      *:*                                   1596     dns.exe        2019-09-16 19:36:11 UTC+0000
0x1147df970        UDPv4    0.0.0.0:0                      *:*                                   1596     dns.exe        2019-09-16 19:36:11 UTC+0000
0x1147dfec0        UDPv4    0.0.0.0:0                      *:*                                   1596     dns.exe        2019-09-16 19:36:11 UTC+0000
0x1147e0250        UDPv4    0.0.0.0:0                      *:*                                   1596     dns.exe        2019-09-16 19:36:11 UTC+0000
0x1147e0b90        UDPv4    0.0.0.0:0                      *:*                                   1596     dns.exe        2019-09-16 19:36:11 UTC+0000
0x1147e1580        UDPv4    0.0.0.0:0                      *:*                                   1596     dns.exe        2019-09-16 19:36:11 UTC+0000
0x1147e1ec0        UDPv4    0.0.0.0:0                      *:*                                   1596     dns.exe        2019-09-16 19:36:11 UTC+0000
0x1147e2580        UDPv4    0.0.0.0:0                      *:*                                   1596     dns.exe        2019-09-16 19:36:11 UTC+0000
0x1147e2970        UDPv4    0.0.0.0:0                      *:*                                   1596     dns.exe        2019-09-16 19:36:11 UTC+0000
0x1147e33b0        UDPv4    0.0.0.0:0                      *:*                                   1596     dns.exe        2019-09-16 19:36:11 UTC+0000
0x1147e4010        UDPv4    0.0.0.0:0                      *:*                                   1596     dns.exe        2019-09-16 19:36:11 UTC+0000
0x1147e46d0        UDPv4    0.0.0.0:0                      *:*                                   1596     dns.exe        2019-09-16 19:36:11 UTC+0000
0x1147e5720        UDPv4    0.0.0.0:0                      *:*                                   1596     dns.exe        2019-09-16 19:36:11 UTC+0000
0x1147e5b90        UDPv4    0.0.0.0:0                      *:*                                   1596     dns.exe        2019-09-16 19:36:11 UTC+0000
0x1147e6500        UDPv4    0.0.0.0:0                      *:*                                   1596     dns.exe        2019-09-16 19:36:11 UTC+0000
0x1147e6ec0        UDPv4    0.0.0.0:0                      *:*                                   1596     dns.exe        2019-09-16 19:36:11 UTC+0000
0x1147e7970        UDPv4    0.0.0.0:0                      *:*                                   1596     dns.exe        2019-09-16 19:36:11 UTC+0000
0x1147e8250        UDPv4    0.0.0.0:0                      *:*                                   1596     dns.exe        2019-09-16 19:36:11 UTC+0000
0x1147e87a0        UDPv4    0.0.0.0:0                      *:*                                   1596     dns.exe        2019-09-16 19:36:11 UTC+0000
0x1147e8b90        UDPv4    0.0.0.0:0                      *:*                                   1596     dns.exe        2019-09-16 19:36:11 UTC+0000
0x1147e9580        UDPv4    0.0.0.0:0                      *:*                                   1596     dns.exe        2019-09-16 19:36:11 UTC+0000
0x1147e9ec0        UDPv4    0.0.0.0:0                      *:*                                   1596     dns.exe        2019-09-16 19:36:11 UTC+0000
0x1147ea580        UDPv4    0.0.0.0:0                      *:*                                   1596     dns.exe        2019-09-16 19:36:11 UTC+0000
0x1147ea580        UDPv6    :::0                           *:*                                   1596     dns.exe        2019-09-16 19:36:11 UTC+0000
0x1147ea970        UDPv4    0.0.0.0:0                      *:*                                   1596     dns.exe        2019-09-16 19:36:11 UTC+0000
0x1147eaec0        UDPv4    0.0.0.0:0                      *:*                                   1596     dns.exe        2019-09-16 19:36:11 UTC+0000
0x1147eb250        UDPv4    0.0.0.0:0                      *:*                                   1596     dns.exe        2019-09-16 19:36:11 UTC+0000
0x1147ebb90        UDPv4    0.0.0.0:0                      *:*                                   1596     dns.exe        2019-09-16 19:36:11 UTC+0000
0x1147ec650        UDPv4    0.0.0.0:0                      *:*                                   1596     dns.exe        2019-09-16 19:36:11 UTC+0000
0x1147ed970        UDPv4    0.0.0.0:0                      *:*                                   1596     dns.exe        2019-09-16 19:36:11 UTC+0000
0x1147edec0        UDPv4    0.0.0.0:0                      *:*                                   1596     dns.exe        2019-09-16 19:36:11 UTC+0000
0x1147ee250        UDPv4    0.0.0.0:0                      *:*                                   1596     dns.exe        2019-09-16 19:36:11 UTC+0000
0x1147ee7a0        UDPv4    0.0.0.0:0                      *:*                                   1596     dns.exe        2019-09-16 19:36:11 UTC+0000
0x1147eeb90        UDPv4    0.0.0.0:0                      *:*                                   1596     dns.exe        2019-09-16 19:36:11 UTC+0000
0x1147ef580        UDPv4    0.0.0.0:0                      *:*                                   1596     dns.exe        2019-09-16 19:36:11 UTC+0000
0x1147efec0        UDPv4    0.0.0.0:0                      *:*                                   1596     dns.exe        2019-09-16 19:36:11 UTC+0000
0x1147f0240        UDPv4    0.0.0.0:0                      *:*                                   1596     dns.exe        2019-09-16 19:36:11 UTC+0000
0x1147f0240        UDPv6    :::0                           *:*                                   1596     dns.exe        2019-09-16 19:36:11 UTC+0000
0x1147f07a0        UDPv4    0.0.0.0:0                      *:*                                   1596     dns.exe        2019-09-16 19:36:11 UTC+0000
0x1147f07a0        UDPv6    :::0                           *:*                                   1596     dns.exe        2019-09-16 19:36:11 UTC+0000
0x1147f0b90        UDPv4    0.0.0.0:0                      *:*                                   1596     dns.exe        2019-09-16 19:36:11 UTC+0000
0x1147f0b90        UDPv6    :::0                           *:*                                   1596     dns.exe        2019-09-16 19:36:11 UTC+0000
0x1147f1010        UDPv4    0.0.0.0:0                      *:*                                   1596     dns.exe        2019-09-16 19:36:11 UTC+0000
0x1147f1010        UDPv6    :::0                           *:*                                   1596     dns.exe        2019-09-16 19:36:11 UTC+0000
0x1147f1250        UDPv4    0.0.0.0:0                      *:*                                   1596     dns.exe        2019-09-16 19:36:11 UTC+0000
0x1147f1250        UDPv6    :::0                           *:*                                   1596     dns.exe        2019-09-16 19:36:11 UTC+0000
0x1147f16c0        UDPv4    0.0.0.0:0                      *:*                                   1596     dns.exe        2019-09-16 19:36:11 UTC+0000
0x1147f16c0        UDPv6    :::0                           *:*                                   1596     dns.exe        2019-09-16 19:36:11 UTC+0000
0x1147f2b90        UDPv4    0.0.0.0:0                      *:*                                   1596     dns.exe        2019-09-16 19:36:11 UTC+0000
0x1147f2b90        UDPv6    :::0                           *:*                                   1596     dns.exe        2019-09-16 19:36:11 UTC+0000
0x1147f33a0        UDPv4    0.0.0.0:0                      *:*                                   1596     dns.exe        2019-09-16 19:36:11 UTC+0000
0x1147f33a0        UDPv6    :::0                           *:*                                   1596     dns.exe        2019-09-16 19:36:11 UTC+0000
0x1147f3900        UDPv4    0.0.0.0:0                      *:*                                   1596     dns.exe        2019-09-16 19:36:11 UTC+0000
0x1147f3900        UDPv6    :::0                           *:*                                   1596     dns.exe        2019-09-16 19:36:11 UTC+0000
0x1147f3cf0        UDPv4    0.0.0.0:0                      *:*                                   1596     dns.exe        2019-09-16 19:36:11 UTC+0000
0x1147f3cf0        UDPv6    :::0                           *:*                                   1596     dns.exe        2019-09-16 19:36:11 UTC+0000
0x1147f4010        UDPv4    0.0.0.0:0                      *:*                                   1596     dns.exe        2019-09-16 19:36:11 UTC+0000
0x1147f4010        UDPv6    :::0                           *:*                                   1596     dns.exe        2019-09-16 19:36:11 UTC+0000
0x1147f46c0        UDPv4    0.0.0.0:0                      *:*                                   1596     dns.exe        2019-09-16 19:36:11 UTC+0000
0x1147f46c0        UDPv6    :::0                           *:*                                   1596     dns.exe        2019-09-16 19:36:11 UTC+0000
0x1147f5b90        UDPv4    0.0.0.0:0                      *:*                                   1596     dns.exe        2019-09-16 19:36:11 UTC+0000
0x1147f5b90        UDPv6    :::0                           *:*                                   1596     dns.exe        2019-09-16 19:36:11 UTC+0000
0x1147f6ec0        UDPv4    0.0.0.0:0                      *:*                                   1596     dns.exe        2019-09-16 19:36:11 UTC+0000
0x1147f6ec0        UDPv6    :::0                           *:*                                   1596     dns.exe        2019-09-16 19:36:11 UTC+0000
0x1147f7960        UDPv4    0.0.0.0:0                      *:*                                   1596     dns.exe        2019-09-16 19:36:11 UTC+0000
0x1147f7960        UDPv6    :::0                           *:*                                   1596     dns.exe        2019-09-16 19:36:11 UTC+0000
0x1147f7ec0        UDPv4    0.0.0.0:0                      *:*                                   1596     dns.exe        2019-09-16 19:36:11 UTC+0000
0x1147f7ec0        UDPv6    :::0                           *:*                                   1596     dns.exe        2019-09-16 19:36:11 UTC+0000
0x1147f8240        UDPv4    0.0.0.0:0                      *:*                                   1596     dns.exe        2019-09-16 19:36:11 UTC+0000
0x1147f8240        UDPv6    :::0                           *:*                                   1596     dns.exe        2019-09-16 19:36:11 UTC+0000
0x1147f87a0        UDPv4    0.0.0.0:0                      *:*                                   1596     dns.exe        2019-09-16 19:36:11 UTC+0000
0x1147f87a0        UDPv6    :::0                           *:*                                   1596     dns.exe        2019-09-16 19:36:11 UTC+0000
0x1147f8b90        UDPv4    0.0.0.0:0                      *:*                                   1596     dns.exe        2019-09-16 19:36:11 UTC+0000
0x1147f8b90        UDPv6    :::0                           *:*                                   1596     dns.exe        2019-09-16 19:36:11 UTC+0000
0x1147f9640        UDPv4    0.0.0.0:0                      *:*                                   1596     dns.exe        2019-09-16 19:36:11 UTC+0000
0x1147f9640        UDPv6    :::0                           *:*                                   1596     dns.exe        2019-09-16 19:36:11 UTC+0000
0x1147fa2c0        UDPv4    0.0.0.0:0                      *:*                                   1596     dns.exe        2019-09-16 19:36:11 UTC+0000
0x1147fa2c0        UDPv6    :::0                           *:*                                   1596     dns.exe        2019-09-16 19:36:11 UTC+0000
