Offset(P)          Proto    Local Address                  Foreign Address      State            Pid      Owner          Created
0x10ad19ed0        TCPv4    0.0.0.0:49156                  0.0.0.0:0            LISTENING        568      lsass.exe      
0x10ad19ed0        TCPv6    :::49156                       :::0                 LISTENING        568      lsass.exe      
0x10a7d1500        TCPv4    172.115.4.4:445                172.115.1.166:64975  CLOSED           4        System         
0x10b1006b0        TCPv4    0.0.0.0:49158                  0.0.0.0:0            LISTENING        360      svchost.exe    
0x10bc80b40        UDPv4    0.0.0.0:0                      *:*                                   568      lsass.exe      2019-09-16 19:34:08 UTC+0000
0x10bc80b40        UDPv6    :::0                           *:*                                   568      lsass.exe      2019-09-16 19:34:08 UTC+0000
0x10bcf6010        UDPv4    10.10.4.4:28736                *:*                                   568      lsass.exe      2019-09-16 19:34:08 UTC+0000
0x10bcfa460        UDPv4    10.10.4.4:28736                *:*                                   568      lsass.exe      2019-09-16 19:34:08 UTC+0000
0x10bcfd600        UDPv4    172.115.4.4:40976              *:*                                   568      lsass.exe      2019-09-16 19:34:08 UTC+0000
0x10bd00530        UDPv4    172.115.4.4:40976              *:*                                   568      lsass.exe      2019-09-16 19:34:08 UTC+0000
0x10bd036d0        UDPv6    fe80::1c4f:3331:650b:6676:49312 *:*                                   568      lsass.exe      2019-09-16 19:34:08 UTC+0000
0x10bd06870        UDPv6    fe80::1c4f:3331:650b:6676:49312 *:*                                   568      lsass.exe      2019-09-16 19:34:08 UTC+0000
0x10bd09a40        UDPv6    fe80::7986:14de:d502:7f61:49280 *:*                                   568      lsass.exe      2019-09-16 19:34:08 UTC+0000
0x10bd0ccf0        UDPv6    fe80::7986:14de:d502:7f61:49280 *:*                                   568      lsass.exe      2019-09-16 19:34:08 UTC+0000
0x10bd0d720        UDPv4    0.0.0.0:0                      *:*                                   568      lsass.exe      2019-09-16 19:34:08 UTC+0000
0x10bd3d7a0        UDPv4    0.0.0.0:0                      *:*                                   568      lsass.exe      2019-09-16 19:34:29 UTC+0000
0x10bd58c20        UDPv4    0.0.0.0:0                      *:*                                   1596     dns.exe        2019-09-16 19:36:10 UTC+0000
0x10bdea9e0        UDPv4    0.0.0.0:0                      *:*                                   1596     dns.exe        2019-09-16 19:36:10 UTC+0000
0x10bdfbec0        UDPv4    127.0.0.1:16496                *:*                                   568      lsass.exe      2019-09-16 19:34:45 UTC+0000
0x10bc7cd90        TCPv4    0.0.0.0:88                     0.0.0.0:0            LISTENING        568      lsass.exe      
0x10bc7cd90        TCPv6    :::88                          :::0                 LISTENING        568      lsass.exe      
0x10bcd9a00        TCPv4    0.0.0.0:464                    0.0.0.0:0            LISTENING        568      lsass.exe      
0x10bcd9a00        TCPv6    :::464                         :::0                 LISTENING        568      lsass.exe      
0x10bcffb90        TCPv4    0.0.0.0:61220                  0.0.0.0:0            LISTENING        560      services.exe   
0x10bd2ad50        TCPv4    0.0.0.0:445                    0.0.0.0:0            LISTENING        4        System         
0x10bd2ad50        TCPv6    :::445                         :::0                 LISTENING        4        System         
0x10bdc3a00        TCPv4    0.0.0.0:49160                  0.0.0.0:0            LISTENING        1412     spoolsv.exe    
0x10bcf7800        TCPv6    ::1:56417                      ::1:389              ESTABLISHED      1596     dns.exe        
0x10c934010        UDPv4    0.0.0.0:0                      *:*                                   1596     dns.exe        2019-09-16 19:36:10 UTC+0000
0x10c9346d0        UDPv4    0.0.0.0:0                      *:*                                   1596     dns.exe        2019-09-16 19:36:10 UTC+0000
0x10d21e010        UDPv4    0.0.0.0:0                      *:*                                   1596     dns.exe        2019-09-16 19:36:10 UTC+0000
0x10e64d7a0        UDPv4    0.0.0.0:0                      *:*                                   1596     dns.exe        2019-09-16 19:36:10 UTC+0000
0x10e64db90        UDPv4    0.0.0.0:0                      *:*                                   1596     dns.exe        2019-09-16 19:36:10 UTC+0000
0x10e657b90        UDPv4    0.0.0.0:0                      *:*                                   1596     dns.exe        2019-09-16 19:36:10 UTC+0000
0x10e855010        UDPv4    0.0.0.0:0                      *:*                                   1596     dns.exe        2019-09-16 19:36:10 UTC+0000
0x10e855260        UDPv4    0.0.0.0:0                      *:*                                   1596     dns.exe        2019-09-16 19:36:10 UTC+0000
0x10e8556d0        UDPv4    0.0.0.0:0                      *:*                                   1596     dns.exe        2019-09-16 19:36:10 UTC+0000
0x10e927010        UDPv4    0.0.0.0:0                      *:*                                   1596     dns.exe        2019-09-16 19:36:10 UTC+0000
0x10e9276d0        UDPv4    0.0.0.0:0                      *:*                                   1596     dns.exe        2019-09-16 19:36:10 UTC+0000
0x10e927c20        UDPv4    0.0.0.0:0                      *:*                                   1596     dns.exe        2019-09-16 19:36:10 UTC+0000
0x10ea0f780        UDPv4    0.0.0.0:0                      *:*                                   1596     dns.exe        2019-09-16 19:36:10 UTC+0000
0x10ea39970        UDPv4    0.0.0.0:0                      *:*                                   1596     dns.exe        2019-09-16 19:36:10 UTC+0000
0x10ea3c720        UDPv4    0.0.0.0:0                      *:*                                   1596     dns.exe        2019-09-16 19:36:10 UTC+0000
0x10ea3cb90        UDPv4    0.0.0.0:0                      *:*                                   1596     dns.exe        2019-09-16 19:36:10 UTC+0000
0x10ea56ec0        UDPv4    0.0.0.0:0                      *:*                                   1596     dns.exe        2019-09-16 19:36:10 UTC+0000
0x10eb1d580        UDPv4    0.0.0.0:0                      *:*                                   1596     dns.exe        2019-09-16 19:36:10 UTC+0000
0x10eb1dad0        UDPv4    0.0.0.0:0                      *:*                                   1596     dns.exe        2019-09-16 19:36:10 UTC+0000
0x10eb1dec0        UDPv4    0.0.0.0:0                      *:*                                   1596     dns.exe        2019-09-16 19:36:10 UTC+0000
0x10eb44b90        UDPv4    0.0.0.0:0                      *:*                                   1596     dns.exe        2019-09-16 19:36:10 UTC+0000
0x10ec1c6d0        UDPv4    0.0.0.0:0                      *:*                                   1596     dns.exe        2019-09-16 19:36:10 UTC+0000
0x10ec1d010        UDPv4    0.0.0.0:0                      *:*                                   1596     dns.exe        2019-09-16 19:36:10 UTC+0000
0x10ec1d3b0        UDPv4    0.0.0.0:0                      *:*                                   1596     dns.exe        2019-09-16 19:36:10 UTC+0000
0x10ec1d900        UDPv4    0.0.0.0:0                      *:*                                   1596     dns.exe        2019-09-16 19:36:10 UTC+0000
0x10ec1dcf0        UDPv4    0.0.0.0:0                      *:*                                   1596     dns.exe        2019-09-16 19:36:10 UTC+0000
0x10ec1f430        UDPv4    0.0.0.0:0                      *:*                                   1596     dns.exe        2019-09-16 19:36:10 UTC+0000
0x10ec1f980        UDPv4    0.0.0.0:0                      *:*                                   1596     dns.exe        2019-09-16 19:36:10 UTC+0000
0x10ec25260        UDPv4    0.0.0.0:0                      *:*                                   1596     dns.exe        2019-09-16 19:36:10 UTC+0000
0x10ec253b0        UDPv4    0.0.0.0:0                      *:*                                   1596     dns.exe        2019-09-16 19:36:10 UTC+0000
0x10ec25cf0        UDPv4    0.0.0.0:0                      *:*                                   1596     dns.exe        2019-09-16 19:36:10 UTC+0000
0x10ec26570        UDPv4    0.0.0.0:0                      *:*                                   1596     dns.exe        2019-09-16 19:36:10 UTC+0000
0x10ec26b90        UDPv4    0.0.0.0:0                      *:*                                   1596     dns.exe        2019-09-16 19:36:10 UTC+0000
0x10ec4a010        UDPv4    0.0.0.0:0                      *:*                                   1596     dns.exe        2019-09-16 19:36:10 UTC+0000
0x10ec4a330        UDPv4    0.0.0.0:0                      *:*                                   1596     dns.exe        2019-09-16 19:36:10 UTC+0000
0x10ec4acf0        UDPv4    0.0.0.0:0                      *:*                                   1596     dns.exe        2019-09-16 19:36:10 UTC+0000
0x10ed4a010        UDPv4    0.0.0.0:0                      *:*                                   1596     dns.exe        2019-09-16 19:36:10 UTC+0000
