Offset(V)          Name                    PID   PPID   Thds     Hnds   Sess  Wow64 Start                          Exit                          
------------------ -------------------- ------ ------ ------ -------- ------ ------ ------------------------------ ------------------------------
0xfffffa8031474850 taskhost.exe           6796    484      5       98      1      0 2019-09-02 10:42:02 UTC+0000                                 
0xfffffa8032976b10 TaniumClient.e         2148   1820     21      506      0      1 2019-09-03 15:50:31 UTC+0000                                 
0xfffffa8031719b10 conhost.exe             216    344      2       34      0      0 2019-09-03 15:50:31 UTC+0000                                 
0xfffffa80328e32a0 TaniumClient.e         8128   2148      7      543      0      1 2019-09-03 17:56:29 UTC+0000                                 
0xfffffa80311569b0 cmd.exe                2256   8128      0 --------      0      0 2019-09-03 17:59:42 UTC+0000   2019-09-03 17:59:42 UTC+0000  
0xfffffa803121fa60 NETSTAT.EXE            1508   2256      0 --------      0      0 2019-09-03 17:59:42 UTC+0000   2019-09-03 17:59:42 UTC+0000  
0xfffffa803340bb10 cmd.exe                3256   8128      0 --------      0      0 2019-09-03 18:08:50 UTC+0000   2019-09-03 18:08:50 UTC+0000  
0xfffffa80328c2600 NETSTAT.EXE            2876   3256      0 --------      0      0 2019-09-03 18:08:50 UTC+0000   2019-09-03 18:08:50 UTC+0000  
0xfffffa80332dab10 cmd.exe                1264   8128      0 --------      0      0 2019-09-03 18:17:57 UTC+0000   2019-09-03 18:17:57 UTC+0000  
0xfffffa80360a5b10 NETSTAT.EXE            4244   1264      0 --------      0      0 2019-09-03 18:17:57 UTC+0000   2019-09-03 18:17:57 UTC+0000  
0xfffffa8032641b10 wsmprovhost.ex         5936    632     11      299      0      0 2019-09-03 18:24:46 UTC+0000                                 
0xfffffa80334d8060 wsmprovhost.ex         6344    632     12      623      0      0 2019-09-03 18:24:48 UTC+0000                                 
0xfffffa80347ea060 HOSTNAME.EXE           6780   6344      0 --------      0      0 2019-09-03 18:24:48 UTC+0000   2019-09-03 18:24:48 UTC+0000  
0xfffffa8032952060 systeminfo.exe         2168   6344      0 --------      0      0 2019-09-03 18:24:48 UTC+0000   2019-09-03 18:24:51 UTC+0000  
0xfffffa80352db060 WmiPrvSE.exe           4296    632      7      129      0      0 2019-09-03 18:24:51 UTC+0000                                 
0xfffffa803210fb10 DumpIt.exe             7392   6344      5      103      0      0 2019-09-03 18:24:52 UTC+0000                                 
0xfffffa8034fa9060 conhost.exe            6272    344      2       34      0      0 2019-09-03 18:24:52 UTC+0000                                 
