Offset(P)          Proto    Local Address                  Foreign Address      State            Pid      Owner          Created
0x13e7e2b60        TCPv6    :::135                         :::0                 LISTENING        692      svchost.exe    
0x13e7f29a0        TCPv4    0.0.0.0:49152                  0.0.0.0:0            LISTENING        384      wininit.exe    
0x13e7f29a0        TCPv6    :::49152                       :::0                 LISTENING        384      wininit.exe    
0x13e7f2d20        TCPv4    0.0.0.0:49152                  0.0.0.0:0            LISTENING        384      wininit.exe    
0x13e7fa610        TCPv4    0.0.0.0:49153                  0.0.0.0:0            LISTENING        756      svchost.exe    
0x13e7fa610        TCPv6    :::49153                       :::0                 LISTENING        756      svchost.exe    
0x13e7fc700        TCPv4    0.0.0.0:49153                  0.0.0.0:0            LISTENING        756      svchost.exe    
0x13e8b61b0        TCPv4    0.0.0.0:47001                  0.0.0.0:0            LISTENING        4        System         
0x13e8b61b0        TCPv6    :::47001                       :::0                 LISTENING        4        System         
0x13e9f27d0        TCPv4    0.0.0.0:3389                   0.0.0.0:0            LISTENING        408      svchost.exe    
0x13e9f27d0        TCPv6    :::3389                        :::0                 LISTENING        408      svchost.exe    
0x13ebea110        TCPv4    172.115.1.60:139               0.0.0.0:0            LISTENING        4        System         
0x13e210cf0        TCPv6    -:0                            2897:eb30:80fa:ffff:2897:eb30:80fa:ffff:0 CLOSED           408      svchost.exe    
0x13e22cb30        TCPv4    -:0                            24.59.69.50:0        CLOSED           408      svchost.exe    
0x13e234010        TCPv6    -:0                            183b:4532:80fa:ffff:183b:4532:80fa:ffff:0 CLOSED           508      lsass.exe      
0x13e234cf0        TCPv6    -:0                            2897:eb30:80fa:ffff:2897:eb30:80fa:ffff:0 CLOSED           508      lsass.exe      
0x13e47d620        TCPv4    0.95.93.3:52073                0.1.77.3:49156       CLOSED           508      lsass.exe      
0x13e5aa240        TCPv4    127.0.0.1:52087                127.0.0.1:49999      CLOSED           1788     java.exe       
0x13e7d1cf0        TCPv4    -:0                            24.139.124.50:0      CLOSED           1                       
0x13ecc96c0        UDPv6    fe80::3c6a:8cd6:4e9d:d469:59027 *:*                                   4532     svchost.exe    2019-08-28 13:12:31 UTC+0000
0x13ed49860        UDPv4    172.115.1.60:1900              *:*                                   4532     svchost.exe    2019-08-28 13:12:31 UTC+0000
0x13ed79010        UDPv6    ::1:1900                       *:*                                   4532     svchost.exe    2019-08-28 13:12:31 UTC+0000
0x13f0b2670        UDPv4    127.0.0.1:52550                *:*                                   972      svchost.exe    2019-08-28 12:15:54 UTC+0000
0x13f14a5f0        UDPv4    0.0.0.0:0                      *:*                                   408      svchost.exe    2019-08-28 12:18:28 UTC+0000
0x13f14a5f0        UDPv6    :::0                           *:*                                   408      svchost.exe    2019-08-28 12:18:28 UTC+0000
0x13f297010        UDPv4    10.10.1.60:138                 *:*                                   4        System         2019-08-28 12:15:21 UTC+0000
0x13f2ce710        TCPv4    0.0.0.0:3389                   0.0.0.0:0            LISTENING        408      svchost.exe    
