Offset(P)          Proto    Local Address                  Foreign Address      State            Pid      Owner          Created
0x13ed55ec0        UDPv4    0.0.0.0:123                    *:*                                   860      svchost.exe    2019-08-26 14:15:10 UTC+0000
0x13ed55ec0        UDPv6    :::123                         *:*                                   860      svchost.exe    2019-08-26 14:15:10 UTC+0000
0x13edd9ec0        UDPv4    172.115.1.77:137               *:*                                   4        System         2019-08-26 14:15:07 UTC+0000
0x13ede9710        UDPv4    10.10.1.77:1900                *:*                                   480      svchost.exe    2019-08-26 14:15:07 UTC+0000
0x13ee1d010        UDPv4    10.10.1.77:137                 *:*                                   4        System         2019-08-26 14:15:04 UTC+0000
0x13f18e010        UDPv4    0.0.0.0:0                      *:*                                   1764     svchost.exe    2019-08-19 19:12:17 UTC+0000
0x13f18e010        UDPv6    :::0                           *:*                                   1764     svchost.exe    2019-08-19 19:12:17 UTC+0000
0x13f48b7d0        UDPv4    172.115.1.77:138               *:*                                   4        System         2019-08-26 14:15:07 UTC+0000
0x13f4ac680        UDPv4    127.0.0.1:1900                 *:*                                   480      svchost.exe    2019-08-26 14:15:07 UTC+0000
0x13ec7b570        TCPv4    172.115.1.77:139               0.0.0.0:0            LISTENING        4        System         
0x13ee662c0        TCPv4    127.0.0.1:49998                0.0.0.0:0            LISTENING        1452     java.exe       
0x13ef2c300        TCPv4    0.0.0.0:61371                  0.0.0.0:0            LISTENING        1764     svchost.exe    
0x13ef2c560        TCPv4    0.0.0.0:61371                  0.0.0.0:0            LISTENING        1764     svchost.exe    
0x13ef2c560        TCPv6    :::61371                       :::0                 LISTENING        1764     svchost.exe    
0x13ef4c460        TCPv4    0.0.0.0:5985                   0.0.0.0:0            LISTENING        4        System         
0x13ef4c460        TCPv6    :::5985                        :::0                 LISTENING        4        System         
0x13f406520        TCPv4    0.0.0.0:3389                   0.0.0.0:0            LISTENING        992      svchost.exe    
0x13ec2fcf0        TCPv4    127.0.0.1:60998                127.0.0.1:49999      CLOSED           1452     java.exe       
0x13ec4fcf0        TCPv4    127.0.0.1:61007                127.0.0.1:49999      CLOSED           1452     java.exe       
0x13ed8c010        TCPv4    172.115.1.77:60341             172.115.4.254:8080   CLOSE_WAIT       3236     esensor.exe    
0x13ef1a6c0        TCPv6    -:0                            181b:8732:80fa:ffff:181b:8732:80fa:ffff:0 CLOSED           1452     java.exe       
0x13f342b20        TCPv4    172.115.1.77:60977             172.115.4.254:5045   ESTABLISHED      2928     winlogbeat.exe 
0x13f6655e0        UDPv4    172.115.1.77:65353             *:*                                   480      svchost.exe    2019-08-26 14:15:07 UTC+0000
0x13f6cf1d0        UDPv4    172.115.1.77:1900              *:*                                   480      svchost.exe    2019-08-26 14:15:07 UTC+0000
0x13f871a00        UDPv6    fe80::f97e:b890:927a:2a87:1900 *:*                                   480      svchost.exe    2019-08-26 14:15:07 UTC+0000
0x13f873220        UDPv6    ::1:1900                       *:*                                   480      svchost.exe    2019-08-26 14:15:07 UTC+0000
0x13f8dd5c0        UDPv4    0.0.0.0:5355                   *:*                                   992      svchost.exe    2019-08-27 14:15:06 UTC+0000
0x13f8dd5c0        UDPv6    :::5355                        *:*                                   992      svchost.exe    2019-08-27 14:15:06 UTC+0000
0x13f9ef010        UDPv4    10.10.1.77:138                 *:*                                   4        System         2019-08-26 14:15:04 UTC+0000
0x13f6a9010        TCPv4    10.10.1.77:65360               10.10.200.207:5672   ESTABLISHED      1452     java.exe       
0x13f755590        TCPv4    127.0.0.1:61020                127.0.0.1:49999      CLOSED           1452     java.exe       
0x13f811830        TCPv4    127.0.0.1:60994                127.0.0.1:49999      CLOSED           1452     java.exe       
0x13f86a0b0        TCPv4    172.115.1.77:60928             172.115.4.9:993      ESTABLISHED      4012     monitorEmail.e 
0x13fb13cf0        TCPv4    -:0                            24.27.135.50:0       CLOSED           756      svchost.exe    
0x13fb89cf0        TCPv4    172.115.1.77:445               172.115.4.254:22122  ESTABLISHED      4        System         
0x13fdb32c0        TCPv4    -:61027                        10.10.1.110:139      ESTABLISHED      4        System         
